"","FPKM.L2_ACAGTG","FPKM.L2_ACTTGA","FPKM.L2_ATCACG","FPKM.L2_CAGATC","FPKM.L2_CGATGT","FPKM.L2_CTTGTA","FPKM.L2_GATCAG","FPKM.L2_GCCAAT","FPKM.L2_GGCTAC","FPKM.L2_TAGCTT","FPKM.L2_TGACCA","FPKM.L6_ACAGTG","FPKM.L6_ACTTGA","FPKM.L6_ATCACG","FPKM.L6_CAGATC","FPKM.L6_CGATGT","FPKM.L6_CTTGTA","FPKM.L6_GATCAG","FPKM.L6_GCCAAT","FPKM.L6_TAGCTT","FPKM.L6_TGACCA","FPKM.L6_TTAGGC","FPKM.L6_unmatched"
"FPKM.L2_ACAGTG",1,0.19364032508497,0.198952126989533,0.187388795863703,0.204340898669455,0.186289184969484,0.184043119309486,0.188135424722771,0.182849175195439,0.171566148929229,0.198069277739425,0.200579927637024,0.2343490632914,0.216600511698789,0.201524512834233,0.191377201062113,0.185508895945643,0.207225469103582,0.208432897344039,0.188144127675772,0.200579053818072,0.196978283321066,0.320326013712735
"FPKM.L2_ACTTGA",0.19364032508497,1,0.627380176040604,0.640627348939257,0.631985711354106,0.627513613608692,0.621737760817905,0.634799165839226,0.636820488098033,0.591758058979459,0.635187041698199,0.614306696845138,0.54976768436942,0.573363005923923,0.626800556108979,0.617405584684185,0.594390626428428,0.598008380406764,0.612950510723493,0.620871036896608,0.633223973723217,0.625747871606696,0.370957134017213
"FPKM.L2_ATCACG",0.198952126989533,0.627380176040604,1,0.614636509949083,0.618093231115658,0.616158914626596,0.620338396866249,0.632127663060561,0.621575681637883,0.593936422211837,0.628814584732684,0.626922029733816,0.561081827805479,0.584167020969224,0.616512209290779,0.612990784777731,0.608110622206541,0.606733257006174,0.61286277737899,0.619536795950728,0.629499368087798,0.628064493354443,0.38583957265571
"FPKM.L2_CAGATC",0.187388795863703,0.640627348939257,0.614636509949083,1,0.611177355652648,0.634490260837432,0.623590666991969,0.643928191679401,0.645808006548179,0.602248234704102,0.635213395099307,0.598662726356867,0.526516268078543,0.541481850868638,0.602215248348148,0.608670219507024,0.584582884301659,0.572966762852187,0.600774497851681,0.622459834488312,0.629587670123779,0.618161405298612,0.350797395427813
"FPKM.L2_CGATGT",0.204340898669455,0.631985711354106,0.618093231115658,0.611177355652648,1,0.609335429066511,0.604548533814834,0.618586304012233,0.609323225747123,0.56902430486145,0.624835791477839,0.610472151021005,0.563801466439351,0.583957429486393,0.62072241877488,0.601255176921525,0.583579292304166,0.602528443434454,0.613880729589927,0.606972084619732,0.619637928436258,0.617486787423233,0.389677290992688
"FPKM.L2_CTTGTA",0.186289184969484,0.627513613608692,0.616158914626596,0.634490260837432,0.609335429066511,1,0.620152192647316,0.625303185162825,0.634193995706851,0.600317761457886,0.618827121886341,0.602768843288006,0.537486946767071,0.56144553915004,0.606657884439151,0.649515474546576,0.602739017828846,0.582917041754661,0.596959676349044,0.615705107537364,0.616585933867262,0.610631387558094,0.361326443844769
"FPKM.L2_GATCAG",0.184043119309486,0.621737760817905,0.620338396866249,0.623590666991969,0.604548533814834,0.620152192647316,1,0.62969793292428,0.640351027380147,0.622349755585446,0.622557907730635,0.608048681521231,0.526751732146927,0.565744987582166,0.602448109950214,0.607061134741889,0.622007816945825,0.584278849860313,0.587933351376219,0.634257699336397,0.608997202008399,0.612800988871699,0.361933078944642
"FPKM.L2_GCCAAT",0.188135424722771,0.634799165839226,0.632127663060561,0.643928191679401,0.618586304012233,0.625303185162825,0.62969793292428,1,0.638658002439193,0.608493331551492,0.637208608510501,0.622237417691632,0.538284772998088,0.563722968110518,0.6132935242089,0.614443351911053,0.606527771686019,0.591967612713626,0.603090167217203,0.630345112205677,0.630784505757044,0.623294263150789,0.363556288552063
"FPKM.L2_GGCTAC",0.182849175195439,0.636820488098033,0.621575681637883,0.645808006548179,0.609323225747123,0.634193995706851,0.640351027380147,0.638658002439193,1,0.617065971464153,0.630098743963762,0.605752834448998,0.529904580096166,0.565381908541179,0.60964004105311,0.61596002696123,0.611090071329038,0.58407348589737,0.593494204808606,0.632725570386005,0.620469368145023,0.616707438108515,0.35501201816698
"FPKM.L2_TAGCTT",0.171566148929229,0.591758058979459,0.593936422211837,0.602248234704102,0.56902430486145,0.600317761457886,0.622349755585446,0.608493331551492,0.617065971464153,1,0.591225902465809,0.580355371883333,0.495981386157813,0.53420448314085,0.567471475126364,0.586120428636105,0.610896924305045,0.550541325416166,0.553236988679529,0.60669143885102,0.578042151588923,0.584604484451013,0.339310814565621
"FPKM.L2_TGACCA",0.198069277739425,0.635187041698199,0.628814584732684,0.635213395099307,0.624835791477839,0.618827121886341,0.622557907730635,0.637208608510501,0.630098743963762,0.591225902465809,1,0.622265470986111,0.560598693439415,0.580502175403246,0.620769441091059,0.611342270693382,0.601778117789937,0.604873628543609,0.620459708321116,0.6239780892879,0.635649373886965,0.630665629250872,0.378297824073663
"FPKM.L6_ACAGTG",0.200579927637024,0.614306696845138,0.626922029733816,0.598662726356867,0.610472151021005,0.602768843288006,0.608048681521231,0.622237417691632,0.605752834448998,0.580355371883333,0.622265470986111,1,0.575322029660655,0.592503556019562,0.618419442792709,0.609437395279481,0.605102601133501,0.610141022098775,0.616499589313086,0.612597266356939,0.627707887867806,0.623228597132526,0.398373884586919
"FPKM.L6_ACTTGA",0.2343490632914,0.54976768436942,0.561081827805479,0.526516268078543,0.563801466439351,0.537486946767071,0.526751732146927,0.538284772998088,0.529904580096166,0.495981386157813,0.560598693439415,0.575322029660655,1,0.577408644269806,0.575157094187375,0.558035199229353,0.537487911556536,0.585357145635957,0.595303811895612,0.539219259111664,0.574987812753458,0.573031060481438,0.451526087205339
"FPKM.L6_ATCACG",0.216600511698789,0.573363005923923,0.584167020969224,0.541481850868638,0.583957429486393,0.56144553915004,0.565744987582166,0.563722968110518,0.565381908541179,0.53420448314085,0.580502175403246,0.592503556019562,0.577408644269806,1,0.590393855752533,0.576357147934888,0.575057497623939,0.592405567804177,0.594272961539356,0.574764080374877,0.583526491067317,0.5904761194325,0.425455819901661
"FPKM.L6_CAGATC",0.201524512834233,0.626800556108979,0.616512209290779,0.602215248348148,0.62072241877488,0.606657884439151,0.602448109950214,0.6132935242089,0.60964004105311,0.567471475126364,0.620769441091059,0.618419442792709,0.575157094187375,0.590393855752533,1,0.611931421288594,0.591168856476767,0.611223511907894,0.618995926220902,0.608611742854569,0.624550874941844,0.623928949270277,0.394254460711438
"FPKM.L6_CGATGT",0.191377201062113,0.617405584684185,0.612990784777731,0.608670219507024,0.601255176921525,0.649515474546576,0.607061134741889,0.614443351911053,0.61596002696123,0.586120428636105,0.611342270693382,0.609437395279481,0.558035199229353,0.576357147934888,0.611931421288594,1,0.60239341490607,0.593506822903908,0.605899260759416,0.607435898903188,0.614844527893497,0.613844555756449,0.377785400407264
"FPKM.L6_CTTGTA",0.185508895945643,0.594390626428428,0.608110622206541,0.584582884301659,0.583579292304166,0.602739017828846,0.622007816945825,0.606527771686019,0.611090071329038,0.610896924305045,0.601778117789937,0.605102601133501,0.537487911556536,0.575057497623939,0.591168856476767,0.60239341490607,1,0.581438255996251,0.580985036325044,0.610624933107016,0.595441136408294,0.599362845290643,0.372419119881361
"FPKM.L6_GATCAG",0.207225469103582,0.598008380406764,0.606733257006174,0.572966762852187,0.602528443434454,0.582917041754661,0.584278849860313,0.591967612713626,0.58407348589737,0.550541325416166,0.604873628543609,0.610141022098775,0.585357145635957,0.592405567804177,0.611223511907894,0.593506822903908,0.581438255996251,1,0.612649391175126,0.592356327978137,0.610333363760465,0.611100816594687,0.412362524597712
