"","FPKM.L2_ACAGTG","FPKM.L2_ACTTGA","FPKM.L2_ATCACG","FPKM.L2_CAGATC","FPKM.L2_CGATGT","FPKM.L2_CTTGTA","FPKM.L2_GATCAG","FPKM.L2_GCCAAT","FPKM.L2_GGCTAC","FPKM.L2_TAGCTT","FPKM.L2_TGACCA","FPKM.L6_ACAGTG","FPKM.L6_ACTTGA","FPKM.L6_ATCACG","FPKM.L6_CAGATC","FPKM.L6_CGATGT","FPKM.L6_CTTGTA","FPKM.L6_GATCAG","FPKM.L6_GCCAAT","FPKM.L6_TAGCTT","FPKM.L6_TGACCA","FPKM.L6_TTAGGC","FPKM.L6_unmatched"
"FPKM.L2_ACAGTG",1,0.529953203783863,0.533290486614099,0.532234084386023,0.533554172368617,0.523272105495201,0.523118529829496,0.529876064044773,0.527667334753766,0.508736625437387,0.536890240298432,0.532805470421585,0.540406430703636,0.53465773615388,0.531619636114328,0.522770399233712,0.514969567969067,0.533916698380781,0.53669158226947,0.526459824358068,0.533922097893846,0.534929163854437,0.562466020039609
"FPKM.L2_ACTTGA",0.529953203783863,1,0.928685062192314,0.937872063598725,0.937266068305113,0.927920841141336,0.924746825585782,0.932160066901576,0.936242815088816,0.899316476528396,0.93156899791206,0.924654187527648,0.904062079687516,0.912784479089442,0.937023106116172,0.919781439721927,0.910063075747329,0.925115385072819,0.924738456321711,0.925888840100235,0.926946044913208,0.929335159938419,0.814386104685737
"FPKM.L2_ATCACG",0.533290486614099,0.928685062192314,1,0.932733542412234,0.922174118974047,0.922862229761272,0.929953615841209,0.940448811886331,0.932123772118113,0.908987921311676,0.931744843569531,0.934463091146373,0.902771837266915,0.911606302037437,0.923005637705808,0.917307194884588,0.917958780778757,0.920357328423882,0.921924719394433,0.928778733861031,0.927935858350386,0.928971801687746,0.816751217097073
"FPKM.L2_CAGATC",0.532234084386023,0.937872063598725,0.932733542412234,1,0.929576985299847,0.929284748426386,0.929777542826662,0.940173229254818,0.938381211745244,0.903510589256482,0.938784455196379,0.928121036642003,0.911669149728867,0.908524213846217,0.930362900866756,0.919059558195285,0.911574714669061,0.921311160013299,0.935511492212621,0.930181004220344,0.934918203109048,0.935710702005367,0.808449937674774
"FPKM.L2_CGATGT",0.533554172368617,0.937266068305113,0.922174118974047,0.929576985299847,1,0.917735791710266,0.916997856807704,0.926047083802925,0.925478902421461,0.892174373178985,0.925301729214815,0.91693551766203,0.896169120495827,0.906740507845162,0.927475732098938,0.909631285756321,0.900068807559459,0.916407750952279,0.916520757165163,0.918914184366687,0.916103453354239,0.922141524836222,0.813402266789713
"FPKM.L2_CTTGTA",0.523272105495201,0.927920841141336,0.922862229761272,0.929284748426386,0.917735791710266,1,0.924446451529294,0.928320496828937,0.932717496457353,0.908706309087146,0.919708166859414,0.920719131500815,0.896493680426787,0.908310031052319,0.922090534081213,0.94406191472249,0.918451574217189,0.912286357740449,0.914449619104659,0.921981908853249,0.917217535659529,0.919482841312746,0.808132720089983
"FPKM.L2_GATCAG",0.523118529829496,0.924746825585782,0.929953615841209,0.929777542826662,0.916997856807704,0.924446451529294,1,0.933576125903479,0.941351480105472,0.925866273870176,0.927130106557334,0.925604447312836,0.893299138170707,0.915487001406103,0.919545021945161,0.917316090653092,0.934252611976426,0.916911548556308,0.913072038159535,0.937984791189602,0.914381230798624,0.924521776339423,0.81127888977807
"FPKM.L2_GCCAAT",0.529876064044773,0.932160066901576,0.940448811886331,0.940173229254818,0.926047083802925,0.928320496828937,0.933576125903479,1,0.93733299900691,0.915055816365844,0.935752019731845,0.937942626950627,0.900760844791365,0.91107923722663,0.92689268476256,0.919477176777711,0.921751194285414,0.921760440009073,0.922565858459063,0.933149912570341,0.931045881861678,0.933174799402121,0.812144942468835
"FPKM.L2_GGCTAC",0.527667334753766,0.936242815088816,0.932123772118113,0.938381211745244,0.925478902421461,0.932717496457353,0.941351480105472,0.93733299900691,1,0.920426110051986,0.932448173662253,0.928128811240225,0.902548632969279,0.922886213978093,0.92998648227065,0.925664372405919,0.928416899841027,0.923842026907208,0.921360480009826,0.938048046384543,0.924332497025424,0.930490925282157,0.813803179176854
"FPKM.L2_TAGCTT",0.508736625437387,0.899316476528396,0.908987921311676,0.903510589256482,0.892174373178985,0.908706309087146,0.925866273870176,0.915055816365844,0.920426110051986,1,0.901722786765339,0.907003836463598,0.871462469450674,0.895895855895276,0.895416215811959,0.902947801317723,0.930476284364115,0.893873165486679,0.889416425991925,0.915891699246586,0.890798281104404,0.901010883280877,0.793989285996066
"FPKM.L2_TGACCA",0.536890240298432,0.93156899791206,0.931744843569531,0.938784455196379,0.925301729214815,0.919708166859414,0.927130106557334,0.935752019731845,0.932448173662253,0.901722786765339,1,0.927724517173299,0.906891774660575,0.910377984377889,0.926107039405846,0.91229118696319,0.910318537838549,0.921725663499887,0.923947237081737,0.927526250320469,0.929478268851909,0.933297237759792,0.8155512864198
"FPKM.L6_ACAGTG",0.532805470421585,0.924654187527648,0.934463091146373,0.928121036642003,0.91693551766203,0.920719131500815,0.925604447312836,0.937942626950627,0.928128811240225,0.907003836463598,0.927724517173299,1,0.90607336054925,0.911541631356629,0.923042997546904,0.915254204238853,0.918249547402827,0.919609205044991,0.920708195317304,0.92723122641727,0.925638251588743,0.927924363493874,0.81935734170215
"FPKM.L6_ACTTGA",0.540406430703636,0.904062079687516,0.902771837266915,0.911669149728867,0.896169120495827,0.896493680426787,0.893299138170707,0.900760844791365,0.902548632969279,0.871462469450674,0.906891774660575,0.90607336054925,1,0.897775104951275,0.908072553532328,0.898003419484541,0.885328884820153,0.905265184625543,0.914050914970115,0.896006493319236,0.911082716751797,0.909283409144246,0.822378516714676
