Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHS.1	DDX11L1	1	+	11874	14409	3.213199	5.685863	20.025287
CHS.2	WASH7P	1	-	14362	29370	3.260559	6.323114	22.269650
CHS.3	LOC107985730	1	+	29926	31295	0.000000	0.000000	0.000000
CHS.4	FAM138A	1	-	34611	36081	0.000000	0.000000	0.000000
CHS.5	LOC105379212	1	+	51943	53959	0.000000	0.000000	0.000000
CHS.6	OR4F5	1	+	69091	70008	0.000000	0.000000	0.000000
CHS.7	LOC100996442	1	-	91169	297504	1.102862	46.513906	163.819344
CHS.8	LOC729737	1	-	134773	140566	14.809740	28.128897	99.068382
CHS.9	LOC102725121	1	+	181049	184258	0.238598	0.675365	2.378599
CHS.10	LOC102723897	1	-	184878	199860	2.610275	8.049906	28.351314
CHS.11	LOC107985721	1	+	200442	203983	0.000000	0.000000	0.000000
CHS.12	-	1	-	352749	356597	0.143425	0.253795	0.893853
CHS.13	RP4-669L17.2	1	+	360057	366052	0.000000	0.000000	0.000000
CHS.14	RP4-669L17.10	1	-	365395	379972	0.000000	0.000000	0.000000
CHS.15	OR4F29	1	-	450740	451678	0.000000	0.000000	0.000000
CHS.16	LOC100132287	1	-	489361	499772	3.165551	9.376840	33.024701
CHS.17	-	1	-	499860	523759	4.140188	19.745761	69.543452
CHS.31	LINC01128	1	+	827591	859446	0.478718	1.867817	6.578345
CHS.32	LOC107984850	1	+	860226	868202	0.000000	0.000000	0.000000
CHS.33	FAM41C	1	-	868071	876802	0.000000	0.000000	0.000000
CHS.48	AGRN	1	+	1020102	1056119	0.000000	0.000000	0.000000
CHS.45	HES4	1	-	990339	1001611	0.080143	1.162058	4.092702
CHS.46	ISG15	1	+	1001053	1014597	3.075036	11.208755	39.476601
CHS.47	-	1	-	1007921	1014068	0.076773	0.135852	0.478464
CHS.49	LOC100288175	1	+	1058784	1068601	0.000000	0.000000	0.000000
CHS.50	RP11-54O7.18	1	-	1062208	1063288	0.000000	0.000000	0.000000
CHS.51	RNF223	1	-	1065635	1074307	0.050440	0.176944	0.623188
CHS.52	LOC105378948	1	-	1066420	1069029	0.000000	0.000000	0.000000
CHS.59	LINC01342	1	+	1137017	1144056	0.138889	0.245769	0.865584
CHS.36	LOC284600	1	+	905115	921990	0.000000	0.000000	0.000000
CHS.37	LOC107985728	1	-	916309	925604	0.000000	0.000000	0.000000
CHS.38	LOC100130417	1	-	916818	919692	0.000000	0.000000	0.000000
CHS.39	SAMD11	1	+	923923	948974	0.174165	0.377296	1.328816
CHS.40	NOC2L	1	-	941883	960806	1.348813	9.946915	35.032472
CHS.42	KLHL17	1	+	960103	966184	0.259414	1.276863	4.497041
CHS.41	PLEKHN1	1	+	965820	975108	0.000000	0.000000	0.000000
CHS.43	PERM1	1	-	974999	982117	0.000000	0.000000	0.000000
CHS.54	C1orf159	1	-	1081811	1116356	0.428404	2.362240	8.319677
CHS.74	LOC101928895	1	+	1274002	1279447	0.000000	0.000000	0.000000
CHS.75	SCNN1D	1	+	1280415	1292029	0.151228	0.388209	1.367250
CHS.71	FAM132A	1	-	1242446	1247218	0.123006	0.661844	2.330979
CHS.72	RP5-902P8.12	1	-	1249777	1251334	0.577022	1.021060	3.596114
CHS.73	UBE2J2	1	-	1253909	1273854	2.540088	12.013304	42.310175
CHS.62	-	1	+	1159664	1170340	0.046821	0.082867	0.291854
CHS.63	TTLL10-AS1	1	-	1173055	1179648	0.000000	0.000000	0.000000
CHS.64	TTLL10	1	+	1173709	1197936	0.000000	0.000000	0.000000
CHS.66	TNFRSF18	1	-	1203508	1207900	0.324964	1.012295	3.565246
CHS.67	TNFRSF4	1	-	1211326	1216812	0.201426	0.521283	1.835930
CHS.68	SDF4	1	-	1216760	1232067	4.187829	49.775726	175.307288
CHS.69	B3GALT6	1	+	1232249	1235041	1.637666	2.897905	10.206256
CHS.76	ACAP3	1	-	1292384	1307925	1.375711	5.323526	18.749157
CHS.79	CPTP	1	+	1324756	1328896	0.623214	1.961809	6.909381
CHS.80	TAS1R3	1	+	1331280	1335320	0.262136	0.482736	1.700168
CHS.81	DVL1	1	-	1335278	1349142	1.297243	3.767602	13.269281
CHS.77	PUSL1	1	+	1308562	1311810	0.548794	1.982484	6.982198
CHS.78	CPSF3L	1	-	1311585	1324687	2.562322	19.304448	67.989173
CHS.18	RP5-857K21.4	1	-	585989	611297	0.000000	0.000000	0.000000
CHS.19	LOC101928626	1	-	627380	634927	0.012881	0.029857	0.105156
CHS.20	OR4F16	1	-	683910	720118	0.013096	0.078613	0.276872
CHS.21	LOC100133331	1	-	724520	730351	4.261379	7.833597	27.589484
CHS.23	LOC107984841	1	-	732159	746737	1.854207	37.802559	133.138472
