Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHS.4	FAM138A	1	-	34611	36081	0.000000	0.000000	0.000000
CHS.6	OR4F5	1	+	69091	70008	0.113108	0.085214	0.322062
CHS.1	DDX11L1	1	+	11874	14409	3.703297	2.790019	10.544701
CHS.2	WASH7P	1	-	14362	29370	13.778394	12.600804	47.623953
CHS.32	LOC107984850	1	+	860226	868202	0.000000	0.000000	0.000000
CHS.33	FAM41C	1	-	868071	876802	0.000000	0.000000	0.000000
CHS.45	HES4	1	-	990339	1001611	0.087053	0.095618	0.361384
CHS.46	ISG15	1	+	1001053	1014597	14.195077	22.220029	83.979212
CHS.47	-	1	-	1007921	1014068	0.436771	0.329058	1.243654
CHS.36	LOC284600	1	+	905115	921990	0.000000	0.000000	0.000000
CHS.37	LOC107985728	1	-	916309	925604	0.000000	0.000000	0.000000
CHS.38	LOC100130417	1	-	916818	919692	0.000000	0.000000	0.000000
CHS.39	SAMD11	1	+	923923	948974	0.627902	0.579127	2.188774
CHS.40	NOC2L	1	-	941883	960806	2.824898	9.089489	34.353157
CHS.42	KLHL17	1	+	960103	966184	0.936661	1.184946	4.478431
CHS.41	PLEKHN1	1	+	965820	975108	0.000000	0.000000	0.000000
CHS.43	PERM1	1	-	974999	982117	0.000000	0.000000	0.000000
CHS.48	AGRN	1	+	1020102	1056119	0.221917	0.304476	1.150747
CHS.49	LOC100288175	1	+	1058784	1068601	0.140588	0.737094	2.785802
CHS.50	RP11-54O7.18	1	-	1062208	1063288	0.000000	0.000000	0.000000
CHS.51	RNF223	1	-	1065635	1074307	0.000000	0.000000	0.000000
CHS.52	LOC105378948	1	-	1066420	1069029	0.711650	0.536148	2.026339
CHS.59	LINC01342	1	+	1137017	1144056	0.000000	0.000000	0.000000
CHS.62	-	1	+	1159664	1170340	0.001873	0.001411	0.005333
CHS.54	C1orf159	1	-	1081811	1116356	0.993317	2.966278	11.210863
CHS.71	FAM132A	1	-	1242446	1247218	0.469387	0.595927	2.252268
CHS.72	RP5-902P8.12	1	-	1249777	1251334	0.430680	0.324469	1.226310
CHS.69	B3GALT6	1	+	1232249	1235041	2.645184	1.992849	7.531849
CHS.63	TTLL10-AS1	1	-	1173055	1179648	0.048851	0.042386	0.160194
CHS.64	TTLL10	1	+	1173709	1197936	0.000000	0.000000	0.000000
CHS.66	TNFRSF18	1	-	1203508	1207900	0.000000	0.000000	0.000000
CHS.67	TNFRSF4	1	-	1211326	1216812	0.100538	0.166909	0.630820
CHS.68	SDF4	1	-	1216760	1232067	10.359248	50.217072	189.792285
CHS.86	AURKAIP1	1	-	1373730	1375438	13.518928	18.501208	69.924161
CHS.73	UBE2J2	1	-	1253909	1273854	7.116790	13.556789	51.237038
CHS.74	LOC101928895	1	+	1274002	1279447	1.125502	1.044146	3.946286
CHS.75	SCNN1D	1	+	1280415	1292029	0.219896	0.231317	0.874249
CHS.76	ACAP3	1	-	1292384	1307925	2.518918	5.784551	21.862350
CHS.77	PUSL1	1	+	1308562	1311810	2.418435	3.857430	14.578917
CHS.78	CPSF3L	1	-	1311585	1324687	7.359847	21.624563	81.728684
CHS.79	CPTP	1	+	1324756	1328896	2.747946	3.765837	14.232747
CHS.80	TAS1R3	1	+	1331280	1335320	1.511235	1.570369	5.935111
CHS.81	DVL1	1	-	1335278	1349142	3.139503	4.955676	18.729669
CHS.83	MXRA8	1	-	1352689	1363541	0.518832	2.337105	8.832940
CHS.98	VWA1	1	+	1428141	1447244	0.004276	0.007702	0.029109
CHS.100	LOC102724312	1	-	1430157	1434573	0.000000	0.000000	0.000000
CHS.99	LOC107985729	1	+	1433233	1435626	0.000000	0.000000	0.000000
CHS.94	LOC107984868	1	-	1411649	1416247	0.281556	0.362806	1.371202
CHS.93	RP4-758J18.13	1	+	1409096	1410618	0.313263	0.236009	0.891979
CHS.95	ANKRD65	1	-	1418420	1422561	0.000000	0.000000	0.000000
CHS.96	LOC105378585	1	+	1420166	1423769	0.127135	0.123067	0.465123
CHS.101	ATAD3C	1	+	1448004	1470221	0.000000	0.000000	0.000000
CHS.103	ATAD3B	1	+	1471732	1509467	2.047574	8.628979	32.612689
CHS.89	CCNL2	1	-	1385711	1399338	7.197436	20.772834	78.509630
CHS.90	RP4-758J18.2	1	+	1399527	1402046	1.511012	2.202818	8.325412
CHS.91	MRPL20	1	-	1401896	1407313	2.870659	6.232253	23.554412
CHS.7	LOC100996442	1	-	91169	297504	5.109640	87.905393	332.232941
CHS.8	LOC729737	1	-	134773	140566	18.451494	19.639173	74.225029
