Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHS.12	-	1	-	352749	356597	0.629592	0.301329	1.043456
CHS.13	RP4-669L17.2	1	+	360057	366052	0.000000	0.000000	0.000000
CHS.14	RP4-669L17.10	1	-	365395	379972	0.000000	0.000000	0.000000
CHS.1	DDX11L1	1	+	11874	14409	5.557733	2.659989	9.211122
CHS.2	WASH7P	1	-	14362	29370	18.788641	10.941318	37.888058
CHS.3	LOC107985730	1	+	29926	31295	0.000000	0.000000	0.000000
CHS.4	FAM138A	1	-	34611	36081	0.000000	0.000000	0.000000
CHS.5	LOC105379212	1	+	51943	53959	0.000000	0.000000	0.000000
CHS.6	OR4F5	1	+	69091	70008	0.000000	0.000000	0.000000
CHS.7	LOC100996442	1	-	91169	297504	1.189772	14.094934	48.808533
CHS.8	LOC729737	1	-	134773	140566	17.442566	8.372941	28.994175
CHS.9	LOC102725121	1	+	181049	184258	3.259166	2.495178	8.640407
CHS.10	LOC102723897	1	-	184878	199860	14.220372	12.765663	44.205477
CHS.11	LOC107985721	1	+	200442	203983	0.180715	0.086492	0.299508
CHS.16	LOC100132287	1	-	489361	499772	8.638935	7.967383	27.589791
CHS.17	-	1	-	499860	523759	4.586063	5.707402	19.763833
CHS.45	HES4	1	-	990339	1001611	0.371939	1.379918	4.778438
CHS.46	ISG15	1	+	1001053	1014597	24.128193	23.987373	83.064492
CHS.47	-	1	-	1007921	1014068	0.715573	0.342481	1.185957
CHS.48	AGRN	1	+	1020102	1056119	0.957176	1.466769	5.079191
CHS.49	LOC100288175	1	+	1058784	1068601	1.305623	1.618453	5.604448
CHS.50	RP11-54O7.18	1	-	1062208	1063288	0.000000	0.000000	0.000000
CHS.51	RNF223	1	-	1065635	1074307	0.178154	0.134737	0.466575
CHS.52	LOC105378948	1	-	1066420	1069029	0.363608	0.174027	0.602627
CHS.62	-	1	+	1159664	1170340	0.069272	0.033161	0.114830
CHS.66	TNFRSF18	1	-	1203508	1207900	0.743691	0.516897	1.789932
CHS.63	TTLL10-AS1	1	-	1173055	1179648	0.272031	0.149945	0.519237
CHS.64	TTLL10	1	+	1173709	1197936	0.024326	0.103918	0.359851
CHS.54	C1orf159	1	-	1081811	1116356	3.103982	5.793741	20.062811
CHS.55	-	1	+	1116513	1117326	0.000000	0.000000	0.000000
CHS.18	RP5-857K21.4	1	-	585989	611297	0.000000	0.000000	0.000000
CHS.19	LOC101928626	1	-	627380	634927	0.095269	0.059727	0.206826
CHS.20	OR4F16	1	-	683910	720118	0.039062	0.063362	0.219412
CHS.21	LOC100133331	1	-	724520	730351	0.000000	0.000000	0.000000
CHS.23	LOC107984841	1	-	732159	746737	2.788745	15.145268	52.445676
CHS.24	LOC107984847	1	-	735566	738953	9.529468	4.819254	16.688316
CHS.22	LOC107984849	1	-	739962	740334	6.957351	3.329860	11.530782
CHS.25	LOC100288069	1	-	755864	778688	3.177054	4.777180	16.542622
CHS.27	LOC105378580	1	+	778760	810065	1.694263	5.695098	19.721228
CHS.26	RP11-206L10.9	1	+	784370	787186	0.447229	0.235114	0.814161
CHS.28	FAM87B	1	+	817371	819834	2.298504	1.100088	3.809431
CHS.30	LINC00115	1	-	826206	827522	6.257252	2.994786	10.370471
CHS.31	LINC01128	1	+	827591	859446	4.016924	6.222521	21.547610
CHS.32	LOC107984850	1	+	860226	868202	0.410881	0.229237	0.793812
CHS.33	FAM41C	1	-	868071	876802	0.000000	0.000000	0.000000
CHS.36	LOC284600	1	+	905115	921990	0.267683	0.167115	0.578693
CHS.37	LOC107985728	1	-	916309	925604	0.000000	0.000000	0.000000
CHS.38	LOC100130417	1	-	916818	919692	0.000000	0.000000	0.000000
CHS.39	SAMD11	1	+	923923	948974	0.243159	0.142474	0.493366
CHS.40	NOC2L	1	-	941883	960806	10.478896	14.188281	49.131780
CHS.42	KLHL17	1	+	960103	966184	2.961727	3.159892	10.942209
CHS.41	PLEKHN1	1	+	965820	975108	0.193941	0.130005	0.450188
CHS.43	PERM1	1	-	974999	982117	0.006953	0.003476	0.012037
CHS.107	RP5-832C2.5	1	+	1574975	1577075	1.492147	0.714157	2.473013
CHS.93	RP4-758J18.13	1	+	1409096	1410618	3.307836	1.583165	5.482250
CHS.94	LOC107984868	1	-	1411649	1416247	0.292667	0.239578	0.829621
CHS.95	ANKRD65	1	-	1418420	1422561	0.162974	0.084080	0.291157
CHS.96	LOC105378585	1	+	1420166	1423769	0.000000	0.000000	0.000000
CHS.97	TMEM88B	1	+	1426128	1427787	0.000000	0.000000	0.000000
CHS.98	VWA1	1	+	1428141	1447244	0.062852	0.033312	0.115353
CHS.100	LOC102724312	1	-	1430157	1434573	0.000000	0.000000	0.000000
CHS.99	LOC107985729	1	+	1433233	1435626	0.000000	0.000000	0.000000
CHS.101	ATAD3C	1	+	1448004	1470221	0.334463	1.158363	4.011230
CHS.103	ATAD3B	1	+	1471732	1509467	6.046478	15.339085	53.116832
CHS.104	ATAD3A	1	+	1512143	1534689	6.283360	8.586596	29.734027
CHS.105	TMEM240	1	-	1534778	1540360	0.000000	0.000000	0.000000
CHS.106	SSU72	1	-	1541673	1574882	22.461670	41.746377	144.561122
CHS.67	TNFRSF4	1	-	1211326	1216812	1.411896	1.397372	4.838879
CHS.68	SDF4	1	-	1216760	1232067	19.578461	57.641670	199.604017
CHS.69	B3GALT6	1	+	1232249	1235041	11.587898	5.546088	19.205229
CHS.71	FAM132A	1	-	1242446	1247218	0.223311	0.320968	1.111460
CHS.72	RP5-902P8.12	1	-	1249777	1251334	1.198973	0.573841	1.987121
CHS.73	UBE2J2	1	-	1253909	1273854	11.089849	13.022205	45.093843
CHS.74	LOC101928895	1	+	1274002	1279447	2.481777	1.462653	5.064938
CHS.75	SCNN1D	1	+	1280415	1292029	1.453628	1.009688	3.496390
CHS.76	ACAP3	1	-	1292384	1307925	5.672133	8.457074	29.285513
CHS.77	PUSL1	1	+	1308562	1311810	5.344658	5.461957	18.913897
CHS.78	CPSF3L	1	-	1311585	1324687	16.070223	30.441432	105.413881
CHS.79	CPTP	1	+	1324756	1328896	5.828312	4.992254	17.287388
CHS.80	TAS1R3	1	+	1331280	1335320	1.602647	0.812510	2.813594
CHS.81	DVL1	1	-	1335278	1349142	6.170160	5.154411	17.848914
CHS.83	MXRA8	1	-	1352689	1363541	1.269707	2.542860	8.805523
CHS.86	AURKAIP1	1	-	1373730	1375438	22.372379	20.563221	71.207194
CHS.89	CCNL2	1	-	1385711	1399338	13.899563	22.400957	77.570984
CHS.90	RP4-758J18.2	1	+	1399527	1402046	6.019324	4.920991	17.040615
CHS.91	MRPL20	1	-	1401896	1407313	12.913921	18.254140	63.211208
CHS.130	LOC105378589	1	-	2013065	2019186	0.063807	0.032060	0.111019
CHS.135	PRKCZ	1	+	2050470	2185399	0.650753	10.289489	35.630877
CHS.136	RP5-892K4.1	1	-	2141084	2145279	1.246787	0.596725	2.066365
CHS.139	LOC100506504	1	-	2181811	2184176	5.803027	2.777389	9.617660
CHS.138	FAAP20	1	-	2184460	2212720	1.780295	7.059200	24.444897
CHS.140	LOC105378593	1	+	2205359	2220493	0.541748	0.259286	0.897867
CHS.137	LOC105378592	1	-	2207597	2215193	0.000000	0.000000	0.000000
CHS.109	C1orf233	1	-	1598008	1600096	2.123025	1.016102	3.518600
CHS.110	LOC105378586	1	+	1600314	1607383	0.577125	0.299453	1.036957
CHS.111	MIB2	1	+	1615188	1630610	11.259758	25.289158	87.572366
CHS.113	MMP23B	1	+	1631681	1634654	2.269957	1.765994	6.115358
CHS.114	CDK11B	1	-	1635226	1659839	42.866314	29.065061	100.647724
CHS.116	SLC35E2B	1	-	1660957	1693000	13.530236	13.586321	47.047286
CHS.117	LOC107985731	1	+	1692543	1699202	3.193904	1.528636	5.293424
