Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHS.1	DDX11L1	1	+	11874	14409	1.184798	0.689185	2.533026
CHS.2	WASH7P	1	-	14362	29370	14.252620	10.131490	37.237218
CHS.12	-	1	-	352749	356597	0.000000	0.000000	0.000000
CHS.13	RP4-669L17.2	1	+	360057	366052	0.000000	0.000000	0.000000
CHS.14	RP4-669L17.10	1	-	365395	379972	0.000000	0.000000	0.000000
CHS.15	OR4F29	1	-	450740	451678	0.027370	0.015921	0.058515
CHS.4	FAM138A	1	-	34611	36081	0.000000	0.000000	0.000000
CHS.5	LOC105379212	1	+	51943	53959	0.000000	0.000000	0.000000
CHS.6	OR4F5	1	+	69091	70008	0.000000	0.000000	0.000000
CHS.7	LOC100996442	1	-	91169	297504	2.982923	41.104938	151.076847
CHS.8	LOC729737	1	-	134773	140566	9.980549	7.139073	26.238907
CHS.9	LOC102725121	1	+	181049	184258	2.994340	2.786155	10.240219
CHS.10	LOC102723897	1	-	184878	199860	10.601252	9.872035	36.283618
CHS.11	LOC107985721	1	+	200442	203983	0.000000	0.000000	0.000000
CHS.31	LINC01128	1	+	827591	859446	1.088523	1.628229	5.984384
CHS.32	LOC107984850	1	+	860226	868202	0.000000	0.000000	0.000000
CHS.33	FAM41C	1	-	868071	876802	0.549927	0.319887	1.175710
CHS.36	LOC284600	1	+	905115	921990	0.000000	0.000000	0.000000
CHS.37	LOC107985728	1	-	916309	925604	0.000000	0.000000	0.000000
CHS.38	LOC100130417	1	-	916818	919692	0.000000	0.000000	0.000000
CHS.39	SAMD11	1	+	923923	948974	0.018630	0.013267	0.048760
CHS.40	NOC2L	1	-	941883	960806	3.969142	10.299990	37.856521
CHS.42	KLHL17	1	+	960103	966184	0.815483	0.761418	2.798511
CHS.41	PLEKHN1	1	+	965820	975108	0.354425	0.255582	0.939363
CHS.43	PERM1	1	-	974999	982117	0.092995	0.056511	0.207699
CHS.45	HES4	1	-	990339	1001611	0.311047	0.197542	0.726044
CHS.46	ISG15	1	+	1001053	1014597	24.475412	29.429062	108.163402
CHS.47	-	1	-	1007921	1014068	0.969794	0.564119	2.073360
CHS.48	AGRN	1	+	1020102	1056119	0.625257	0.720381	2.647686
CHS.49	LOC100288175	1	+	1058784	1068601	0.648159	0.976502	3.589029
CHS.50	RP11-54O7.18	1	-	1062208	1063288	0.000000	0.000000	0.000000
CHS.51	RNF223	1	-	1065635	1074307	0.063590	0.050862	0.186937
CHS.52	LOC105378948	1	-	1066420	1069029	0.000000	0.000000	0.000000
CHS.62	-	1	+	1159664	1170340	0.000000	0.000000	0.000000
CHS.66	TNFRSF18	1	-	1203508	1207900	0.134279	0.087395	0.321213
CHS.63	TTLL10-AS1	1	-	1173055	1179648	0.000000	0.000000	0.000000
CHS.64	TTLL10	1	+	1173709	1197936	0.000000	0.000000	0.000000
CHS.54	C1orf159	1	-	1081811	1116356	0.885463	1.878898	6.905691
CHS.71	FAM132A	1	-	1242446	1247218	0.000000	0.000000	0.000000
CHS.72	RP5-902P8.12	1	-	1249777	1251334	0.611682	0.355809	1.307739
CHS.67	TNFRSF4	1	-	1211326	1216812	0.966612	0.856482	3.147908
CHS.68	SDF4	1	-	1216760	1232067	14.289668	53.509958	196.670184
CHS.69	B3GALT6	1	+	1232249	1235041	4.713570	2.741835	10.077325
CHS.73	UBE2J2	1	-	1253909	1273854	8.322929	13.918896	51.157429
CHS.74	LOC101928895	1	+	1274002	1279447	1.157391	0.829026	3.046997
CHS.75	SCNN1D	1	+	1280415	1292029	0.399259	0.336914	1.238292
CHS.94	LOC107984868	1	-	1411649	1416247	0.000000	0.000000	0.000000
CHS.93	RP4-758J18.13	1	+	1409096	1410618	0.864449	0.502841	1.848139
CHS.95	ANKRD65	1	-	1418420	1422561	0.000000	0.000000	0.000000
CHS.96	LOC105378585	1	+	1420166	1423769	0.000000	0.000000	0.000000
CHS.98	VWA1	1	+	1428141	1447244	0.000000	0.000000	0.000000
