Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHS.1	DDX11L1	1	+	11874	14409	1.761755	3.578035	12.692188
CHS.2	WASH7P	1	-	14362	29370	3.383624	7.444432	26.407269
CHS.3	LOC107985730	1	+	29926	31295	0.000000	0.000000	0.000000
CHS.4	FAM138A	1	-	34611	36081	0.000000	0.000000	0.000000
CHS.5	LOC105379212	1	+	51943	53959	0.000000	0.000000	0.000000
CHS.6	OR4F5	1	+	69091	70008	0.086057	0.174777	0.619979
CHS.7	LOC100996442	1	-	91169	297504	0.893271	42.799325	151.819940
CHS.8	LOC729737	1	-	134773	140566	10.055796	21.738460	77.111771
CHS.9	LOC102725121	1	+	181049	184258	0.396591	1.288412	4.570320
CHS.10	LOC102723897	1	-	184878	199860	2.462214	7.659973	27.171845
CHS.11	LOC107985721	1	+	200442	203983	0.000000	0.000000	0.000000
CHS.12	-	1	-	352749	356597	0.116500	0.236606	0.839299
CHS.13	RP4-669L17.2	1	+	360057	366052	0.000000	0.000000	0.000000
CHS.14	RP4-669L17.10	1	-	365395	379972	0.000000	0.000000	0.000000
CHS.15	OR4F29	1	-	450740	451678	0.063543	0.129053	0.457782
CHS.16	LOC100132287	1	-	489361	499772	3.356057	11.488680	40.753229
CHS.17	-	1	-	499860	523759	2.035435	14.316840	50.785421
CHS.32	LOC107984850	1	+	860226	868202	0.000000	0.000000	0.000000
CHS.33	FAM41C	1	-	868071	876802	0.000000	0.000000	0.000000
CHS.31	LINC01128	1	+	827591	859446	0.845767	4.189976	14.862897
CHS.45	HES4	1	-	990339	1001611	0.058318	0.129315	0.458711
CHS.46	ISG15	1	+	1001053	1014597	4.812410	20.308337	72.038765
CHS.47	-	1	-	1007921	1014068	0.108491	0.220340	0.781600
CHS.48	AGRN	1	+	1020102	1056119	0.058665	0.198066	0.702591
CHS.36	LOC284600	1	+	905115	921990	0.000000	0.000000	0.000000
CHS.37	LOC107985728	1	-	916309	925604	0.000000	0.000000	0.000000
CHS.38	LOC100130417	1	-	916818	919692	0.000000	0.000000	0.000000
CHS.39	SAMD11	1	+	923923	948974	0.005247	0.059657	0.211619
CHS.40	NOC2L	1	-	941883	960806	1.034050	10.795856	38.295609
CHS.42	KLHL17	1	+	960103	966184	0.226491	0.993262	3.523350
CHS.41	PLEKHN1	1	+	965820	975108	0.000000	0.000000	0.000000
CHS.43	PERM1	1	-	974999	982117	0.000000	0.000000	0.000000
CHS.49	LOC100288175	1	+	1058784	1068601	0.109417	0.575551	2.041623
CHS.50	RP11-54O7.18	1	-	1062208	1063288	0.000000	0.000000	0.000000
CHS.51	RNF223	1	-	1065635	1074307	0.000000	0.000000	0.000000
CHS.52	LOC105378948	1	-	1066420	1069029	0.000000	0.000000	0.000000
CHS.63	TTLL10-AS1	1	-	1173055	1179648	0.000000	0.000000	0.000000
CHS.64	TTLL10	1	+	1173709	1197936	0.000000	0.000000	0.000000
CHS.66	TNFRSF18	1	-	1203508	1207900	0.000000	0.000000	0.000000
CHS.54	C1orf159	1	-	1081811	1116356	0.548873	4.374289	15.516700
CHS.74	LOC101928895	1	+	1274002	1279447	0.612079	2.210644	7.841707
CHS.67	TNFRSF4	1	-	1211326	1216812	0.099973	0.304352	1.079613
CHS.68	SDF4	1	-	1216760	1232067	2.861398	44.169334	156.679707
CHS.69	B3GALT6	1	+	1232249	1235041	2.011457	4.085167	14.491112
CHS.75	SCNN1D	1	+	1280415	1292029	0.000000	0.000000	0.000000
CHS.73	UBE2J2	1	-	1253909	1273854	2.000443	12.436741	44.116240
CHS.76	ACAP3	1	-	1292384	1307925	0.745464	6.902276	24.484106
CHS.79	CPTP	1	+	1324756	1328896	0.480513	1.658940	5.884677
CHS.80	TAS1R3	1	+	1331280	1335320	0.401023	0.847602	3.006659
CHS.81	DVL1	1	-	1335278	1349142	0.877864	2.066698	7.331096
CHS.77	PUSL1	1	+	1308562	1311810	0.855934	3.405999	12.081934
CHS.78	CPSF3L	1	-	1311585	1324687	2.178157	14.272766	50.629081
CHS.86	AURKAIP1	1	-	1373730	1375438	3.651379	13.378567	47.457134
CHS.83	MXRA8	1	-	1352689	1363541	0.581822	2.498360	8.862310
CHS.18	RP5-857K21.4	1	-	585989	611297	0.000000	0.000000	0.000000
CHS.19	LOC101928626	1	-	627380	634927	0.468694	1.246895	4.423050
CHS.20	OR4F16	1	-	683910	720118	0.023144	0.266826	0.946499
CHS.21	LOC100133331	1	-	724520	730351	2.772343	5.849223	20.748662
CHS.23	LOC107984841	1	-	732159	746737	1.401730	32.397392	114.921675
CHS.24	LOC107984847	1	-	735566	738953	2.886364	5.947905	21.098711
CHS.22	LOC107984849	1	-	739962	740334	0.823579	1.672647	5.933299
CHS.25	LOC100288069	1	-	755864	778688	1.172075	6.368303	22.589969
CHS.27	LOC105378580	1	+	778760	810065	0.425630	5.842923	20.726314
CHS.26	RP11-206L10.9	1	+	784370	787186	0.221189	0.493431	1.750325
CHS.28	FAM87B	1	+	817371	819834	0.244342	0.496246	1.760310
CHS.30	LINC00115	1	-	826206	827522	3.058087	6.210819	22.031335
