Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHS.13	RP4-669L17.2	1	+	360057	366052	0.000000	0.000000	0.000000
CHS.14	RP4-669L17.10	1	-	365395	379972	0.000000	0.000000	0.000000
CHS.12	-	1	-	352749	356597	0.157501	0.209961	0.689457
CHS.1	DDX11L1	1	+	11874	14409	0.461158	0.614760	2.018709
CHS.2	WASH7P	1	-	14362	29370	8.933940	12.883855	42.307205
CHS.3	LOC107985730	1	+	29926	31295	0.000000	0.000000	0.000000
CHS.4	FAM138A	1	-	34611	36081	0.000000	0.000000	0.000000
CHS.5	LOC105379212	1	+	51943	53959	0.000000	0.000000	0.000000
CHS.6	OR4F5	1	+	69091	70008	0.000000	0.000000	0.000000
CHS.7	LOC100996442	1	-	91169	297504	0.453972	14.209143	46.659107
CHS.8	LOC729737	1	-	134773	140566	2.642775	4.853734	15.938393
CHS.9	LOC102725121	1	+	181049	184258	0.000000	0.000000	0.000000
CHS.10	LOC102723897	1	-	184878	199860	6.312730	17.051308	55.992035
CHS.11	LOC107985721	1	+	200442	203983	0.000000	0.000000	0.000000
CHS.15	OR4F29	1	-	450740	451678	0.000000	0.000000	0.000000
CHS.16	LOC100132287	1	-	489361	499772	3.685529	9.888086	32.469887
CHS.17	-	1	-	499860	523759	0.843147	3.303703	10.848496
CHS.45	HES4	1	-	990339	1001611	0.178279	0.400435	1.314925
CHS.46	ISG15	1	+	1001053	1014597	9.885856	27.384651	89.924026
CHS.47	-	1	-	1007921	1014068	0.296504	0.395263	1.297940
CHS.59	LINC01342	1	+	1137017	1144056	0.410494	0.547220	1.796929
CHS.66	TNFRSF18	1	-	1203508	1207900	0.712301	1.062449	3.488803
CHS.62	-	1	+	1159664	1170340	0.070971	0.094629	0.310735
CHS.63	TTLL10-AS1	1	-	1173055	1179648	0.000000	0.000000	0.000000
CHS.64	TTLL10	1	+	1173709	1197936	0.000000	0.000000	0.000000
CHS.48	AGRN	1	+	1020102	1056119	0.352220	2.881017	9.460507
CHS.49	LOC100288175	1	+	1058784	1068601	0.209936	0.724841	2.380188
CHS.50	RP11-54O7.18	1	-	1062208	1063288	0.000000	0.000000	0.000000
CHS.51	RNF223	1	-	1065635	1074307	0.000000	0.000000	0.000000
CHS.52	LOC105378948	1	-	1066420	1069029	0.368932	0.491815	1.614992
CHS.54	C1orf159	1	-	1081811	1116356	1.324326	6.144204	20.175959
CHS.69	B3GALT6	1	+	1232249	1235041	3.491586	4.654556	15.284345
CHS.71	FAM132A	1	-	1242446	1247218	0.000000	0.000000	0.000000
CHS.72	RP5-902P8.12	1	-	1249777	1251334	0.251876	0.335770	1.102582
CHS.67	TNFRSF4	1	-	1211326	1216812	0.426317	0.827560	2.717491
CHS.68	SDF4	1	-	1216760	1232067	8.768319	62.050339	203.757065
CHS.74	LOC101928895	1	+	1274002	1279447	0.306037	0.513699	1.686853
CHS.73	UBE2J2	1	-	1253909	1273854	5.481080	18.260614	59.963081
CHS.79	CPTP	1	+	1324756	1328896	2.576931	6.075219	19.949429
CHS.18	RP5-857K21.4	1	-	585989	611297	0.000000	0.000000	0.000000
