Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHS.1	DDX11L1	1	+	11874	14409	3.969137	4.325956	15.358758
CHS.2	WASH7P	1	-	14362	29370	8.121276	9.829896	34.899800
CHS.3	LOC107985730	1	+	29926	31295	0.000000	0.000000	0.000000
CHS.4	FAM138A	1	-	34611	36081	0.000000	0.000000	0.000000
CHS.5	LOC105379212	1	+	51943	53959	0.000000	0.000000	0.000000
CHS.6	OR4F5	1	+	69091	70008	0.000000	0.000000	0.000000
CHS.7	LOC100996442	1	-	91169	297504	1.252302	32.678042	116.019249
CHS.8	LOC729737	1	-	134773	140566	6.874657	8.620160	30.604785
CHS.9	LOC102725121	1	+	181049	184258	1.844685	3.216038	11.418137
CHS.10	LOC102723897	1	-	184878	199860	4.577425	8.587708	30.489570
CHS.11	LOC107985721	1	+	200442	203983	0.000000	0.000000	0.000000
CHS.12	-	1	-	352749	356597	0.160610	0.175049	0.621488
CHS.13	RP4-669L17.2	1	+	360057	366052	0.000000	0.000000	0.000000
CHS.14	RP4-669L17.10	1	-	365395	379972	0.000000	0.000000	0.000000
CHS.15	OR4F29	1	-	450740	451678	0.060277	0.065696	0.233245
CHS.16	LOC100132287	1	-	489361	499772	3.376559	5.706106	20.258807
CHS.17	-	1	-	499860	523759	2.673170	9.097882	32.300877
CHS.32	LOC107984850	1	+	860226	868202	0.000000	0.000000	0.000000
CHS.33	FAM41C	1	-	868071	876802	0.000000	0.000000	0.000000
CHS.45	HES4	1	-	990339	1001611	0.093971	1.015259	3.604548
CHS.46	ISG15	1	+	1001053	1014597	9.628589	21.660499	76.902859
CHS.47	-	1	-	1007921	1014068	0.360734	0.393163	1.395877
CHS.49	LOC100288175	1	+	1058784	1068601	0.156136	0.440747	1.564817
CHS.50	RP11-54O7.18	1	-	1062208	1063288	0.000000	0.000000	0.000000
CHS.51	RNF223	1	-	1065635	1074307	0.000000	0.000000	0.000000
CHS.52	LOC105378948	1	-	1066420	1069029	0.000000	0.000000	0.000000
CHS.48	AGRN	1	+	1020102	1056119	0.266934	0.872196	3.096620
CHS.59	LINC01342	1	+	1137017	1144056	0.000000	0.000000	0.000000
CHS.66	TNFRSF18	1	-	1203508	1207900	0.161542	0.273803	0.972103
CHS.62	-	1	+	1159664	1170340	0.018334	0.019987	0.070960
CHS.63	TTLL10-AS1	1	-	1173055	1179648	0.000000	0.000000	0.000000
CHS.64	TTLL10	1	+	1173709	1197936	0.000000	0.000000	0.000000
CHS.36	LOC284600	1	+	905115	921990	0.000000	0.000000	0.000000
CHS.37	LOC107985728	1	-	916309	925604	0.000000	0.000000	0.000000
CHS.38	LOC100130417	1	-	916818	919692	0.000000	0.000000	0.000000
CHS.39	SAMD11	1	+	923923	948974	0.465040	0.620497	2.202994
CHS.40	NOC2L	1	-	941883	960806	2.548990	13.025091	46.243935
CHS.42	KLHL17	1	+	960103	966184	0.720429	1.873712	6.652377
CHS.41	PLEKHN1	1	+	965820	975108	0.106623	0.144063	0.511477
CHS.43	PERM1	1	-	974999	982117	0.000000	0.000000	0.000000
CHS.54	C1orf159	1	-	1081811	1116356	0.936873	4.075638	14.470036
CHS.71	FAM132A	1	-	1242446	1247218	0.186025	0.577623	2.050778
CHS.69	B3GALT6	1	+	1232249	1235041	3.881131	4.230038	15.018215
CHS.72	RP5-902P8.12	1	-	1249777	1251334	0.239987	0.261561	0.928641
