Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHS.1	DDX11L1	1	+	11874	14409	0.647465	0.390663	1.550039
CHS.2	WASH7P	1	-	14362	29370	8.738775	5.757722	22.844984
CHS.12	-	1	-	352749	356597	0.501069	0.302332	1.199566
CHS.15	OR4F29	1	-	450740	451678	0.033775	0.020379	0.080858
CHS.7	LOC100996442	1	-	91169	297504	3.040965	41.288349	163.820282
CHS.8	LOC729737	1	-	134773	140566	11.694698	10.138274	40.225754
CHS.9	LOC102725121	1	+	181049	184258	2.112225	2.038634	8.088713
CHS.10	LOC102723897	1	-	184878	199860	8.273385	8.845629	35.096909
CHS.11	LOC107985721	1	+	200442	203983	0.000000	0.000000	0.000000
CHS.30	LINC00115	1	-	826206	827522	5.698937	3.438588	13.643328
CHS.31	LINC01128	1	+	827591	859446	1.338605	2.152197	8.539300
CHS.32	LOC107984850	1	+	860226	868202	0.000000	0.000000	0.000000
CHS.33	FAM41C	1	-	868071	876802	0.000000	0.000000	0.000000
CHS.45	HES4	1	-	990339	1001611	0.195734	0.149672	0.593854
CHS.46	ISG15	1	+	1001053	1014597	7.383874	9.257804	36.732300
CHS.47	-	1	-	1007921	1014068	0.482582	0.291177	1.155307
CHS.48	AGRN	1	+	1020102	1056119	0.144480	0.148144	0.587795
CHS.36	LOC284600	1	+	905115	921990	0.042439	0.039006	0.154763
CHS.37	LOC107985728	1	-	916309	925604	0.044265	0.031585	0.125322
CHS.38	LOC100130417	1	-	916818	919692	0.000000	0.000000	0.000000
CHS.39	SAMD11	1	+	923923	948974	0.797080	0.588777	2.336099
CHS.40	NOC2L	1	-	941883	960806	3.132838	7.382235	29.290583
CHS.42	KLHL17	1	+	960103	966184	1.295189	1.954315	7.754159
CHS.41	PLEKHN1	1	+	965820	975108	0.000000	0.000000	0.000000
CHS.43	PERM1	1	-	974999	982117	0.000000	0.000000	0.000000
CHS.49	LOC100288175	1	+	1058784	1068601	0.528654	0.826148	3.277916
CHS.50	RP11-54O7.18	1	-	1062208	1063288	0.000000	0.000000	0.000000
CHS.51	RNF223	1	-	1065635	1074307	0.000000	0.000000	0.000000
CHS.52	LOC105378948	1	-	1066420	1069029	0.000000	0.000000	0.000000
CHS.63	TTLL10-AS1	1	-	1173055	1179648	0.178640	0.124136	0.492535
CHS.64	TTLL10	1	+	1173709	1197936	0.000000	0.000000	0.000000
CHS.66	TNFRSF18	1	-	1203508	1207900	0.340611	0.348379	1.382269
CHS.54	C1orf159	1	-	1081811	1116356	1.019117	2.099661	8.330851
CHS.55	-	1	+	1116513	1117326	0.000000	0.000000	0.000000
CHS.56	-	1	-	1127337	1128573	0.000000	0.000000	0.000000
CHS.59	LINC01342	1	+	1137017	1144056	0.000000	0.000000	0.000000
CHS.62	-	1	+	1159664	1170340	0.037358	0.022546	0.089455
CHS.69	B3GALT6	1	+	1232249	1235041	4.470462	2.697359	10.702343
CHS.71	FAM132A	1	-	1242446	1247218	0.582604	1.308465	5.191613
CHS.72	RP5-902P8.12	1	-	1249777	1251334	0.414420	0.250050	0.992127
CHS.67	TNFRSF4	1	-	1211326	1216812	0.950150	1.341252	5.321701
CHS.68	SDF4	1	-	1216760	1232067	9.805555	43.804287	173.802795
CHS.79	CPTP	1	+	1324756	1328896	1.715317	1.803012	7.153832
CHS.83	MXRA8	1	-	1352689	1363541	1.160974	0.875498	3.473724
CHS.80	TAS1R3	1	+	1331280	1335320	0.566343	0.685046	2.718066
CHS.81	DVL1	1	-	1335278	1349142	2.332867	1.800042	7.142048
CHS.86	AURKAIP1	1	-	1373730	1375438	12.343095	14.182783	56.273201
CHS.73	UBE2J2	1	-	1253909	1273854	6.346069	9.637032	38.236965
CHS.74	LOC101928895	1	+	1274002	1279447	0.783363	0.723938	2.872377
CHS.75	SCNN1D	1	+	1280415	1292029	0.479066	0.403601	1.601374
CHS.76	ACAP3	1	-	1292384	1307925	2.548868	4.065470	16.130613
CHS.77	PUSL1	1	+	1308562	1311810	1.808075	2.183521	8.663582
CHS.78	CPSF3L	1	-	1311585	1324687	6.982068	14.956876	59.344578
CHS.93	RP4-758J18.13	1	+	1409096	1410618	0.782140	0.471923	1.872453
CHS.95	ANKRD65	1	-	1418420	1422561	0.000000	0.000000	0.000000
CHS.96	LOC105378585	1	+	1420166	1423769	0.000000	0.000000	0.000000
CHS.94	LOC107984868	1	-	1411649	1416247	0.311778	0.321753	1.276624
CHS.98	VWA1	1	+	1428141	1447244	0.000000	0.000000	0.000000
CHS.100	LOC102724312	1	-	1430157	1434573	0.000000	0.000000	0.000000
CHS.99	LOC107985729	1	+	1433233	1435626	0.000000	0.000000	0.000000
CHS.90	RP4-758J18.2	1	+	1399527	1402046	2.644372	2.231750	8.854943
