Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHS.3	LOC107985730	1	+	29926	31295	0.000000	0.000000	0.000000
CHS.71	FAM132A	1	-	1242446	1247218	0.000000	0.000000	0.000000
CHS.54	C1orf159	1	-	1081811	1116356	0.495324	1.026796	3.956060
CHS.1	DDX11L1	1	+	11874	14409	0.000000	0.000000	0.000000
CHS.2	WASH7P	1	-	14362	29370	10.674709	8.226707	31.696005
CHS.73	UBE2J2	1	-	1253909	1273854	6.065011	9.684448	37.312417
CHS.69	B3GALT6	1	+	1232249	1235041	3.757250	2.678630	10.320273
CHS.72	RP5-902P8.12	1	-	1249777	1251334	0.349166	0.248928	0.959076
CHS.79	CPTP	1	+	1324756	1328896	2.434694	2.950623	11.368212
CHS.45	HES4	1	-	990339	1001611	0.083748	0.305066	1.175364
CHS.46	ISG15	1	+	1001053	1014597	12.823954	18.882723	72.751699
CHS.47	-	1	-	1007921	1014068	0.129636	0.092420	0.356079
CHS.48	AGRN	1	+	1020102	1056119	0.226070	0.409896	1.579256
CHS.18	RP5-857K21.4	1	-	585989	611297	0.000000	0.000000	0.000000
CHS.19	LOC101928626	1	-	627380	634927	0.022746	0.021242	0.081840
CHS.20	OR4F16	1	-	683910	720118	0.046987	0.114063	0.439465
CHS.21	LOC100133331	1	-	724520	730351	0.000000	0.000000	0.000000
CHS.23	LOC107984841	1	-	732159	746737	5.654942	48.483354	186.797543
CHS.24	LOC107984847	1	-	735566	738953	4.544853	3.287580	12.666447
CHS.22	LOC107984849	1	-	739962	740334	14.599166	10.408080	40.100438
CHS.25	LOC100288069	1	-	755864	778688	1.021559	1.467596	5.654380
CHS.27	LOC105378580	1	+	778760	810065	0.396870	1.325139	5.105520
CHS.26	RP11-206L10.9	1	+	784370	787186	1.366462	1.070054	4.122723
CHS.28	FAM87B	1	+	817371	819834	2.391786	1.705159	6.569668
CHS.30	LINC00115	1	-	826206	827522	5.353311	3.816498	14.704273
CHS.31	LINC01128	1	+	827591	859446	0.561368	0.798698	3.077239
CHS.32	LOC107984850	1	+	860226	868202	0.000000	0.000000	0.000000
CHS.33	FAM41C	1	-	868071	876802	0.000000	0.000000	0.000000
CHS.36	LOC284600	1	+	905115	921990	0.000000	0.000000	0.000000
CHS.37	LOC107985728	1	-	916309	925604	0.000000	0.000000	0.000000
CHS.38	LOC100130417	1	-	916818	919692	0.000000	0.000000	0.000000
CHS.39	SAMD11	1	+	923923	948974	1.256010	1.096222	4.223545
CHS.40	NOC2L	1	-	941883	960806	4.020348	14.002920	53.950704
CHS.42	KLHL17	1	+	960103	966184	1.568502	1.832888	7.061786
CHS.41	PLEKHN1	1	+	965820	975108	0.000000	0.000000	0.000000
CHS.43	PERM1	1	-	974999	982117	0.000000	0.000000	0.000000
CHS.77	PUSL1	1	+	1308562	1311810	4.187220	6.814573	26.255312
CHS.78	CPSF3L	1	-	1311585	1324687	6.615711	15.740695	60.646033
CHS.67	TNFRSF4	1	-	1211326	1216812	0.441569	0.471886	1.818090
CHS.68	SDF4	1	-	1216760	1232067	11.040564	54.037497	208.196648
CHS.7	LOC100996442	1	-	91169	297504	3.239459	52.517814	202.341586
CHS.8	LOC729737	1	-	134773	140566	22.705137	18.036162	69.490050
CHS.9	LOC102725121	1	+	181049	184258	0.000000	0.000000	0.000000
