Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHS.12	-	1	-	352749	356597	0.105409	0.247223	0.851354
CHS.1	DDX11L1	1	+	11874	14409	2.093061	4.909007	16.904968
CHS.2	WASH7P	1	-	14362	29370	5.165740	13.403180	46.156042
CHS.3	LOC107985730	1	+	29926	31295	0.000000	0.000000	0.000000
CHS.4	FAM138A	1	-	34611	36081	0.000000	0.000000	0.000000
CHS.5	LOC105379212	1	+	51943	53959	0.000000	0.000000	0.000000
CHS.6	OR4F5	1	+	69091	70008	0.000000	0.000000	0.000000
CHS.7	LOC100996442	1	-	91169	297504	1.272411	68.759382	236.784181
CHS.8	LOC729737	1	-	134773	140566	16.094767	40.463791	139.343685
CHS.9	LOC102725121	1	+	181049	184258	0.856890	3.214769	11.070582
CHS.10	LOC102723897	1	-	184878	199860	2.821939	13.985200	48.160325
CHS.11	LOC107985721	1	+	200442	203983	0.000000	0.000000	0.000000
CHS.31	LINC01128	1	+	827591	859446	0.367203	2.044327	7.039975
CHS.32	LOC107984850	1	+	860226	868202	0.121538	0.332285	1.144279
CHS.33	FAM41C	1	-	868071	876802	0.000000	0.000000	0.000000
CHS.49	LOC100288175	1	+	1058784	1068601	0.014111	0.085716	0.295178
CHS.50	RP11-54O7.18	1	-	1062208	1063288	0.000000	0.000000	0.000000
CHS.51	RNF223	1	-	1065635	1074307	0.000000	0.000000	0.000000
CHS.52	LOC105378948	1	-	1066420	1069029	0.000000	0.000000	0.000000
CHS.48	AGRN	1	+	1020102	1056119	0.142956	1.634011	5.626985
CHS.36	LOC284600	1	+	905115	921990	0.000000	0.000000	0.000000
CHS.37	LOC107985728	1	-	916309	925604	0.000000	0.000000	0.000000
CHS.38	LOC100130417	1	-	916818	919692	0.000000	0.000000	0.000000
CHS.39	SAMD11	1	+	923923	948974	0.000000	0.000000	0.000000
CHS.40	NOC2L	1	-	941883	960806	0.823981	8.738631	30.092906
CHS.42	KLHL17	1	+	960103	966184	0.131219	0.493999	1.701165
CHS.41	PLEKHN1	1	+	965820	975108	0.000000	0.000000	0.000000
CHS.43	PERM1	1	-	974999	982117	0.000000	0.000000	0.000000
CHS.45	HES4	1	-	990339	1001611	0.074508	0.190791	0.657021
CHS.46	ISG15	1	+	1001053	1014597	2.557720	12.210811	42.049926
CHS.47	-	1	-	1007921	1014068	0.270221	0.633769	2.182486
CHS.59	LINC01342	1	+	1137017	1144056	0.000000	0.000000	0.000000
CHS.62	-	1	+	1159664	1170340	0.000000	0.000000	0.000000
CHS.66	TNFRSF18	1	-	1203508	1207900	0.136099	0.357153	1.229916
CHS.54	C1orf159	1	-	1081811	1116356	0.067473	0.554863	1.910763
CHS.71	FAM132A	1	-	1242446	1247218	0.000000	0.000000	0.000000
CHS.72	RP5-902P8.12	1	-	1249777	1251334	0.177150	0.415483	1.430782
CHS.69	B3GALT6	1	+	1232249	1235041	1.406731	3.299308	11.361705
CHS.67	TNFRSF4	1	-	1211326	1216812	0.000000	0.000000	0.000000
CHS.68	SDF4	1	-	1216760	1232067	3.967594	56.997088	196.278797
CHS.74	LOC101928895	1	+	1274002	1279447	0.217235	0.627392	2.160526
CHS.75	SCNN1D	1	+	1280415	1292029	0.067674	0.237134	0.816608
CHS.73	UBE2J2	1	-	1253909	1273854	1.082221	7.575385	26.087078
