Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHS.1	DDX11L1	1	+	11874	14409	0.000000	0.000000	0.000000
CHS.2	WASH7P	1	-	14362	29370	0.456421	9.255997	31.283518
CHS.7	LOC100996442	1	-	91169	297504	0.060463	32.870049	111.094543
CHS.8	LOC729737	1	-	134773	140566	1.046231	19.979681	67.527542
CHS.9	LOC102725121	1	+	181049	184258	0.000000	0.000000	0.000000
CHS.10	LOC102723897	1	-	184878	199860	0.296695	10.880583	36.774307
CHS.11	LOC107985721	1	+	200442	203983	0.000000	0.000000	0.000000
CHS.16	LOC100132287	1	-	489361	499772	0.406142	29.880060	100.988945
CHS.17	-	1	-	499860	523759	0.180785	11.692942	39.519928
CHS.20	OR4F16	1	-	683910	720118	0.003034	0.197518	0.667575
CHS.21	LOC100133331	1	-	724520	730351	0.000000	0.000000	0.000000
CHS.18	RP5-857K21.4	1	-	585989	611297	0.000000	0.000000	0.000000
CHS.19	LOC101928626	1	-	627380	634927	2.996358	74.954254	253.331192
CHS.23	LOC107984841	1	-	732159	746737	0.000000	0.000000	0.000000
CHS.24	LOC107984847	1	-	735566	738953	0.000000	0.000000	0.000000
CHS.22	LOC107984849	1	-	739962	740334	0.000000	0.000000	0.000000
CHS.30	LINC00115	1	-	826206	827522	0.175399	3.349562	11.320887
CHS.32	LOC107984850	1	+	860226	868202	0.000000	0.000000	0.000000
CHS.33	FAM41C	1	-	868071	876802	0.000000	0.000000	0.000000
CHS.25	LOC100288069	1	-	755864	778688	0.000000	0.000000	0.000000
CHS.27	LOC105378580	1	+	778760	810065	0.028830	2.463699	8.326838
CHS.26	RP11-206L10.9	1	+	784370	787186	0.000000	0.000000	0.000000
CHS.31	LINC01128	1	+	827591	859446	0.034491	2.075709	7.015504
CHS.69	B3GALT6	1	+	1232249	1235041	0.135696	2.591362	8.758311
CHS.48	AGRN	1	+	1020102	1056119	0.030683	0.974071	3.292176
CHS.71	FAM132A	1	-	1242446	1247218	0.000000	0.000000	0.000000
CHS.75	SCNN1D	1	+	1280415	1292029	0.000000	0.000000	0.000000
CHS.45	HES4	1	-	990339	1001611	0.011628	0.242434	0.819381
CHS.46	ISG15	1	+	1001053	1014597	1.475939	58.568863	197.951660
CHS.47	-	1	-	1007921	1014068	0.038165	0.728830	2.463307
CHS.77	PUSL1	1	+	1308562	1311810	0.120403	5.517433	18.647879
CHS.78	CPSF3L	1	-	1311585	1324687	0.277654	12.377926	41.835045
CHS.54	C1orf159	1	-	1081811	1116356	0.036771	1.946156	6.577640
CHS.83	MXRA8	1	-	1352689	1363541	0.054996	8.990189	30.385136
CHS.104	ATAD3A	1	+	1512143	1534689	0.037744	1.811524	6.122608
CHS.76	ACAP3	1	-	1292384	1307925	0.240753	7.497008	25.338469
CHS.106	SSU72	1	-	1541673	1574882	0.744923	53.509045	180.850449
CHS.79	CPTP	1	+	1324756	1328896	0.372704	13.172601	44.520897
CHS.73	UBE2J2	1	-	1253909	1273854	0.493974	31.100250	105.112961
CHS.118	MMP23A	1	+	1699939	1701808	0.000000	0.000000	0.000000
CHS.67	TNFRSF4	1	-	1211326	1216812	0.000000	0.000000	0.000000
CHS.68	SDF4	1	-	1216760	1232067	0.411866	49.087944	165.907959
CHS.109	C1orf233	1	-	1598008	1600096	0.042604	0.813601	2.749816
CHS.107	RP5-832C2.5	1	+	1574975	1577075	0.088053	1.681532	5.683259
CHS.80	TAS1R3	1	+	1331280	1335320	0.060759	1.207530	4.081222
CHS.81	DVL1	1	-	1335278	1349142	0.214421	5.244215	17.724453
CHS.36	LOC284600	1	+	905115	921990	0.000000	0.000000	0.000000
CHS.37	LOC107985728	1	-	916309	925604	0.000000	0.000000	0.000000
CHS.38	LOC100130417	1	-	916818	919692	0.000000	0.000000	0.000000
CHS.39	SAMD11	1	+	923923	948974	0.000000	0.000000	0.000000
CHS.40	NOC2L	1	-	941883	960806	0.125456	6.840708	23.120298
CHS.42	KLHL17	1	+	960103	966184	0.000000	0.000000	0.000000
CHS.41	PLEKHN1	1	+	965820	975108	0.000000	0.000000	0.000000
CHS.43	PERM1	1	-	974999	982117	0.000000	0.000000	0.000000
CHS.86	AURKAIP1	1	-	1373730	1375438	0.835227	26.186871	88.506660
CHS.89	CCNL2	1	-	1385711	1399338	0.775716	38.948868	131.639801
CHS.90	RP4-758J18.2	1	+	1399527	1402046	0.337302	7.391747	24.982704
CHS.91	MRPL20	1	-	1401896	1407313	0.578572	39.306419	132.848251
CHS.93	RP4-758J18.13	1	+	1409096	1410618	0.000000	0.000000	0.000000
CHS.94	LOC107984868	1	-	1411649	1416247	0.000000	0.000000	0.000000
CHS.95	ANKRD65	1	-	1418420	1422561	0.000000	0.000000	0.000000
CHS.96	LOC105378585	1	+	1420166	1423769	0.000000	0.000000	0.000000
CHS.97	TMEM88B	1	+	1426128	1427787	0.000000	0.000000	0.000000
