Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHS.31	LINC01128	1	+	827591	859446	1.359869	1.738355	6.678489
CHS.32	LOC107984850	1	+	860226	868202	0.000000	0.000000	0.000000
CHS.33	FAM41C	1	-	868071	876802	0.000000	0.000000	0.000000
CHS.45	HES4	1	-	990339	1001611	0.438287	1.493584	5.738119
CHS.46	ISG15	1	+	1001053	1014597	13.863562	12.085670	46.431271
CHS.47	-	1	-	1007921	1014068	0.839630	0.354778	1.363000
CHS.49	LOC100288175	1	+	1058784	1068601	0.179407	0.196339	0.754305
CHS.50	RP11-54O7.18	1	-	1062208	1063288	0.000000	0.000000	0.000000
CHS.51	RNF223	1	-	1065635	1074307	0.000000	0.000000	0.000000
CHS.52	LOC105378948	1	-	1066420	1069029	0.000000	0.000000	0.000000
CHS.48	AGRN	1	+	1020102	1056119	0.387489	0.732431	2.813886
CHS.36	LOC284600	1	+	905115	921990	0.000000	0.000000	0.000000
CHS.37	LOC107985728	1	-	916309	925604	0.000000	0.000000	0.000000
CHS.38	LOC100130417	1	-	916818	919692	0.000000	0.000000	0.000000
CHS.39	SAMD11	1	+	923923	948974	0.126320	0.250127	0.960947
CHS.40	NOC2L	1	-	941883	960806	4.515413	6.176066	23.727484
CHS.42	KLHL17	1	+	960103	966184	1.096902	0.819988	3.150267
CHS.41	PLEKHN1	1	+	965820	975108	0.335907	0.198791	0.763723
CHS.43	PERM1	1	-	974999	982117	0.000000	0.000000	0.000000
CHS.59	LINC01342	1	+	1137017	1144056	0.351235	0.148411	0.570172
CHS.62	-	1	+	1159664	1170340	0.037457	0.015830	0.060817
CHS.54	C1orf159	1	-	1081811	1116356	1.091349	1.571226	6.036407
CHS.69	B3GALT6	1	+	1232249	1235041	5.736126	2.423744	9.311649
CHS.71	FAM132A	1	-	1242446	1247218	0.764760	0.704995	2.708483
CHS.72	RP5-902P8.12	1	-	1249777	1251334	0.737677	0.311698	1.197496
CHS.63	TTLL10-AS1	1	-	1173055	1179648	0.046216	0.022491	0.086405
CHS.64	TTLL10	1	+	1173709	1197936	0.009963	0.032450	0.124667
CHS.66	TNFRSF18	1	-	1203508	1207900	0.697285	0.569231	2.186896
CHS.67	TNFRSF4	1	-	1211326	1216812	1.137294	0.720338	2.767427
CHS.68	SDF4	1	-	1216760	1232067	17.631254	50.282127	193.176117
CHS.74	LOC101928895	1	+	1274002	1279447	0.873115	0.467351	1.795489
CHS.75	SCNN1D	1	+	1280415	1292029	1.209817	0.742184	2.851354
CHS.73	UBE2J2	1	-	1253909	1273854	12.760140	13.409729	51.518097
CHS.76	ACAP3	1	-	1292384	1307925	4.470320	5.853959	22.490000
CHS.79	CPTP	1	+	1324756	1328896	4.313559	3.258584	12.518972
CHS.80	TAS1R3	1	+	1331280	1335320	1.795579	1.131731	4.347933
CHS.81	DVL1	1	-	1335278	1349142	3.411603	3.117408	11.976597
CHS.83	MXRA8	1	-	1352689	1363541	0.761683	1.220865	4.690375
CHS.86	AURKAIP1	1	-	1373730	1375438	25.417377	18.864603	72.474876
CHS.77	PUSL1	1	+	1308562	1311810	5.145086	4.738347	18.203991
CHS.78	CPSF3L	1	-	1311585	1324687	11.039020	17.833176	68.512291
CHS.94	LOC107984868	1	-	1411649	1416247	0.000000	0.000000	0.000000
CHS.93	RP4-758J18.13	1	+	1409096	1410618	2.046257	0.864626	3.321759
CHS.98	VWA1	1	+	1428141	1447244	0.000000	0.000000	0.000000
CHS.100	LOC102724312	1	-	1430157	1434573	0.000000	0.000000	0.000000
CHS.99	LOC107985729	1	+	1433233	1435626	0.000000	0.000000	0.000000
CHS.90	RP4-758J18.2	1	+	1399527	1402046	3.765177	3.184946	12.236068
CHS.91	MRPL20	1	-	1401896	1407313	9.383611	10.635710	40.860744
CHS.89	CCNL2	1	-	1385711	1399338	14.150874	19.364313	74.394691
CHS.109	C1orf233	1	-	1598008	1600096	0.222595	0.094055	0.361346
CHS.110	LOC105378586	1	+	1600314	1607383	0.844571	0.382363	1.468978
CHS.101	ATAD3C	1	+	1448004	1470221	0.062262	0.308725	1.186074
CHS.103	ATAD3B	1	+	1471732	1509467	3.510278	7.017780	26.961222
CHS.104	ATAD3A	1	+	1512143	1534689	3.441973	4.560251	17.519773
CHS.105	TMEM240	1	-	1534778	1540360	0.188177	0.179602	0.690003
