Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHS.12	-	1	-	352749	356597	0.293507	0.248594	0.852712
CHS.1	DDX11L1	1	+	11874	14409	0.000000	0.000000	0.000000
CHS.2	WASH7P	1	-	14362	29370	8.615672	8.310468	28.506057
CHS.3	LOC107985730	1	+	29926	31295	0.000000	0.000000	0.000000
CHS.4	FAM138A	1	-	34611	36081	0.000000	0.000000	0.000000
CHS.5	LOC105379212	1	+	51943	53959	0.000000	0.000000	0.000000
CHS.6	OR4F5	1	+	69091	70008	0.000000	0.000000	0.000000
CHS.7	LOC100996442	1	-	91169	297504	1.107885	23.883123	81.922419
CHS.8	LOC729737	1	-	134773	140566	9.697888	8.757067	30.037953
CHS.9	LOC102725121	1	+	181049	184258	0.000000	0.000000	0.000000
CHS.10	LOC102723897	1	-	184878	199860	6.541944	10.038340	34.432897
CHS.11	LOC107985721	1	+	200442	203983	0.000000	0.000000	0.000000
CHS.36	LOC284600	1	+	905115	921990	0.048645	0.053742	0.184344
CHS.37	LOC107985728	1	-	916309	925604	0.000000	0.000000	0.000000
CHS.38	LOC100130417	1	-	916818	919692	0.000000	0.000000	0.000000
CHS.39	SAMD11	1	+	923923	948974	0.930314	0.964639	3.308845
CHS.40	NOC2L	1	-	941883	960806	4.539785	17.055812	58.503796
CHS.42	KLHL17	1	+	960103	966184	1.461654	2.745997	9.419149
CHS.41	PLEKHN1	1	+	965820	975108	0.000000	0.000000	0.000000
CHS.43	PERM1	1	-	974999	982117	0.000000	0.000000	0.000000
CHS.45	HES4	1	-	990339	1001611	0.276967	0.527746	1.810243
CHS.46	ISG15	1	+	1001053	1014597	50.383022	88.531945	303.676834
CHS.47	-	1	-	1007921	1014068	0.972584	0.823757	2.825602
CHS.49	LOC100288175	1	+	1058784	1068601	0.108825	0.238727	0.818866
CHS.50	RP11-54O7.18	1	-	1062208	1063288	0.000000	0.000000	0.000000
CHS.51	RNF223	1	-	1065635	1074307	0.090291	0.124318	0.426427
CHS.52	LOC105378948	1	-	1066420	1069029	0.543689	0.460493	1.579554
CHS.48	AGRN	1	+	1020102	1056119	1.091728	3.539539	12.141109
CHS.55	-	1	+	1116513	1117326	0.000000	0.000000	0.000000
CHS.54	C1orf159	1	-	1081811	1116356	1.530167	4.164009	14.283128
CHS.59	LINC01342	1	+	1137017	1144056	0.000000	0.000000	0.000000
CHS.62	-	1	+	1159664	1170340	0.037457	0.031731	0.108842
CHS.63	TTLL10-AS1	1	-	1173055	1179648	0.090517	0.175429	0.601745
CHS.64	TTLL10	1	+	1173709	1197936	0.000000	0.000000	0.000000
CHS.66	TNFRSF18	1	-	1203508	1207900	0.337336	0.319686	1.096567
CHS.67	TNFRSF4	1	-	1211326	1216812	0.485885	0.843762	2.894221
CHS.68	SDF4	1	-	1216760	1232067	12.029813	65.211249	223.683617
CHS.74	LOC101928895	1	+	1274002	1279447	0.390448	0.723994	2.483401
CHS.75	SCNN1D	1	+	1280415	1292029	0.785556	1.215577	4.169598
CHS.69	B3GALT6	1	+	1232249	1235041	3.015038	2.553672	8.759447
CHS.71	FAM132A	1	-	1242446	1247218	0.401026	1.020030	3.498845
CHS.72	RP5-902P8.12	1	-	1249777	1251334	0.345208	0.292384	1.002916
CHS.73	UBE2J2	1	-	1253909	1273854	6.727048	15.748101	54.018167
CHS.76	ACAP3	1	-	1292384	1307925	2.688341	7.268162	24.930801
CHS.83	MXRA8	1	-	1352689	1363541	1.487900	2.591051	8.887665
CHS.86	AURKAIP1	1	-	1373730	1375438	12.452617	18.376580	63.034215
CHS.77	PUSL1	1	+	1308562	1311810	2.929839	5.454901	18.711065
CHS.78	CPSF3L	1	-	1311585	1324687	8.025207	25.465992	87.351880
CHS.79	CPTP	1	+	1324756	1328896	2.795631	4.203023	14.416950
CHS.80	TAS1R3	1	+	1331280	1335320	1.881815	1.990216	6.826716
CHS.81	DVL1	1	-	1335278	1349142	3.679606	8.574195	29.410677
CHS.16	LOC100132287	1	-	489361	499772	6.213372	10.744904	36.856509
CHS.17	-	1	-	499860	523759	3.766616	8.793790	30.163916
CHS.18	RP5-857K21.4	1	-	585989	611297	0.000000	0.000000	0.000000
CHS.19	LOC101928626	1	-	627380	634927	0.056256	0.062414	0.214088
CHS.20	OR4F16	1	-	683910	720118	0.021911	0.063000	0.216099
CHS.21	LOC100133331	1	-	724520	730351	0.000000	0.000000	0.000000
CHS.23	LOC107984841	1	-	732159	746737	1.870229	18.914190	64.878292
CHS.24	LOC107984847	1	-	735566	738953	7.965238	6.845179	23.479912
CHS.22	LOC107984849	1	-	739962	740334	4.644285	3.933608	13.492821
CHS.25	LOC100288069	1	-	755864	778688	2.169132	4.599289	15.776199
