Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHS.90	RP4-758J18.2	1	+	1399527	1402046	1.717367	2.783634	10.781492
CHS.91	MRPL20	1	-	1401896	1407313	2.470715	7.642136	29.599300
CHS.93	RP4-758J18.13	1	+	1409096	1410618	1.651346	1.540120	5.965150
CHS.94	LOC107984868	1	-	1411649	1416247	0.417531	0.666034	2.579663
CHS.95	ANKRD65	1	-	1418420	1422561	2.073470	2.084530	8.073740
CHS.96	LOC105378585	1	+	1420166	1423769	1.760911	1.940572	7.516168
CHS.32	LOC107984850	1	+	860226	868202	4.221039	4.589051	17.774180
CHS.33	FAM41C	1	-	868071	876802	9.783839	9.213833	35.686752
CHS.36	LOC284600	1	+	905115	921990	0.463904	0.564361	2.185869
CHS.37	LOC107985728	1	-	916309	925604	0.503270	0.555079	2.149915
CHS.38	LOC100130417	1	-	916818	919692	0.000000	0.000000	0.000000
CHS.39	SAMD11	1	+	923923	948974	1.570629	8.571721	33.199744
CHS.40	NOC2L	1	-	941883	960806	4.134073	12.368956	47.907086
CHS.42	KLHL17	1	+	960103	966184	2.156418	3.107814	12.037097
CHS.41	PLEKHN1	1	+	965820	975108	3.767255	4.355670	16.870254
CHS.43	PERM1	1	-	974999	982117	4.021195	3.917879	15.174617
CHS.45	HES4	1	-	990339	1001611	9.915434	17.151462	66.430550
CHS.46	ISG15	1	+	1001053	1014597	12.334438	23.881545	92.497315
CHS.47	-	1	-	1007921	1014068	6.828765	6.368816	24.667517
CHS.48	AGRN	1	+	1020102	1056119	3.435776	6.588125	25.516937
CHS.49	LOC100288175	1	+	1058784	1068601	2.758276	9.508965	36.829848
CHS.50	RP11-54O7.18	1	-	1062208	1063288	0.000000	0.000000	0.000000
CHS.51	RNF223	1	-	1065635	1074307	1.472493	2.721487	10.540786
CHS.52	LOC105378948	1	-	1066420	1069029	0.954854	0.890540	3.449215
CHS.54	C1orf159	1	-	1081811	1116356	2.003654	5.837676	22.610318
CHS.55	-	1	+	1116513	1117326	0.000000	0.000000	0.000000
CHS.56	-	1	-	1127337	1128573	0.000000	0.000000	0.000000
CHS.59	LINC01342	1	+	1137017	1144056	5.615339	5.237120	20.284263
CHS.62	-	1	+	1159664	1170340	2.755025	2.674418	10.358477
CHS.63	TTLL10-AS1	1	-	1173055	1179648	14.092995	22.829196	88.421385
CHS.64	TTLL10	1	+	1173709	1197936	1.460074	16.651875	64.495563
CHS.66	TNFRSF18	1	-	1203508	1207900	13.705261	16.692976	64.654753
CHS.67	TNFRSF4	1	-	1211326	1216812	10.259540	15.960745	61.818696
CHS.68	SDF4	1	-	1216760	1232067	10.761161	47.081933	182.356389
CHS.69	B3GALT6	1	+	1232249	1235041	5.015753	4.677919	18.118382
CHS.71	FAM132A	1	-	1242446	1247218	4.089516	7.607663	29.465783
