Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHS.12	-	1	-	352749	356597	0.118675	0.131038	0.431222
CHS.15	OR4F29	1	-	450740	451678	0.097021	0.107128	0.352539
CHS.1	DDX11L1	1	+	11874	14409	4.591873	5.070238	16.685187
CHS.2	WASH7P	1	-	14362	29370	11.365973	15.355444	50.531840
CHS.3	LOC107985730	1	+	29926	31295	0.000000	0.000000	0.000000
CHS.4	FAM138A	1	-	34611	36081	0.000000	0.000000	0.000000
CHS.5	LOC105379212	1	+	51943	53959	0.000000	0.000000	0.000000
CHS.6	OR4F5	1	+	69091	70008	0.000000	0.000000	0.000000
CHS.7	LOC100996442	1	-	91169	297504	1.269347	32.544133	107.096541
CHS.8	LOC729737	1	-	134773	140566	26.546955	31.289944	102.969245
CHS.9	LOC102725121	1	+	181049	184258	1.635868	2.889346	9.508287
CHS.10	LOC102723897	1	-	184878	199860	6.176834	13.721526	45.154926
CHS.11	LOC107985721	1	+	200442	203983	0.000000	0.000000	0.000000
CHS.16	LOC100132287	1	-	489361	499772	7.455528	16.527390	54.388492
CHS.17	-	1	-	499860	523759	3.228099	10.639919	35.013947
CHS.62	-	1	+	1159664	1170340	0.017841	0.019704	0.064842
CHS.31	LINC01128	1	+	827591	859446	1.033288	2.566430	8.445631
CHS.32	LOC107984850	1	+	860226	868202	0.153072	0.197025	0.648371
CHS.33	FAM41C	1	-	868071	876802	0.000000	0.000000	0.000000
CHS.36	LOC284600	1	+	905115	921990	0.000000	0.000000	0.000000
CHS.37	LOC107985728	1	-	916309	925604	0.000000	0.000000	0.000000
CHS.38	LOC100130417	1	-	916818	919692	0.000000	0.000000	0.000000
CHS.39	SAMD11	1	+	923923	948974	0.115680	0.598572	1.969786
CHS.40	NOC2L	1	-	941883	960806	2.654223	11.723460	38.579672
CHS.42	KLHL17	1	+	960103	966184	0.465416	0.866707	2.852167
CHS.41	PLEKHN1	1	+	965820	975108	0.000000	0.000000	0.000000
CHS.43	PERM1	1	-	974999	982117	0.000000	0.000000	0.000000
CHS.45	HES4	1	-	990339	1001611	0.566695	0.834911	2.747533
CHS.46	ISG15	1	+	1001053	1014597	9.148628	20.811576	68.486932
CHS.47	-	1	-	1007921	1014068	0.632561	0.698459	2.298495
CHS.48	AGRN	1	+	1020102	1056119	0.202949	0.515650	1.696907
CHS.49	LOC100288175	1	+	1058784	1068601	0.294894	0.843343	2.775283
CHS.50	RP11-54O7.18	1	-	1062208	1063288	0.000000	0.000000	0.000000
CHS.51	RNF223	1	-	1065635	1074307	0.079080	0.201138	0.661906
CHS.52	LOC105378948	1	-	1066420	1069029	0.000000	0.000000	0.000000
CHS.54	C1orf159	1	-	1081811	1116356	0.565114	2.329245	7.665101
CHS.18	RP5-857K21.4	1	-	585989	611297	0.000000	0.000000	0.000000
CHS.19	LOC101928626	1	-	627380	634927	0.059548	0.086129	0.283434
CHS.20	OR4F16	1	-	683910	720118	0.025798	0.139322	0.458481
CHS.21	LOC100133331	1	-	724520	730351	0.000000	0.000000	0.000000
CHS.23	LOC107984841	1	-	732159	746737	2.220317	28.647118	94.272207
CHS.24	LOC107984847	1	-	735566	738953	3.323761	3.723763	12.254195
CHS.22	LOC107984849	1	-	739962	740334	10.015585	11.058973	36.392973
CHS.25	LOC100288069	1	-	755864	778688	2.849593	8.132500	26.762509
CHS.27	LOC105378580	1	+	778760	810065	0.395555	3.360377	11.058359
CHS.26	RP11-206L10.9	1	+	784370	787186	0.469653	0.569615	1.874494
CHS.28	FAM87B	1	+	817371	819834	1.992874	2.200485	7.241375
CHS.30	LINC00115	1	-	826206	827522	6.517464	7.196430	23.682081
CHS.83	MXRA8	1	-	1352689	1363541	0.460843	0.612587	2.015908
CHS.86	AURKAIP1	1	-	1373730	1375438	10.345029	20.521360	67.531885
CHS.93	RP4-758J18.13	1	+	1409096	1410618	0.662869	0.731924	2.408624
CHS.94	LOC107984868	1	-	1411649	1416247	0.016370	0.021105	0.069453
CHS.63	TTLL10-AS1	1	-	1173055	1179648	0.000000	0.000000	0.000000
CHS.64	TTLL10	1	+	1173709	1197936	0.000000	0.000000	0.000000
CHS.66	TNFRSF18	1	-	1203508	1207900	0.488664	0.689402	2.268692
CHS.67	TNFRSF4	1	-	1211326	1216812	0.341365	0.565005	1.859323
CHS.68	SDF4	1	-	1216760	1232067	8.880266	49.156955	161.766172
CHS.69	B3GALT6	1	+	1232249	1235041	2.975295	3.285251	10.811134
CHS.71	FAM132A	1	-	1242446	1247218	0.291563	0.949495	3.124606
CHS.72	RP5-902P8.12	1	-	1249777	1251334	0.312580	0.345143	1.135801
CHS.73	UBE2J2	1	-	1253909	1273854	4.789618	13.896914	45.732096
CHS.74	LOC101928895	1	+	1274002	1279447	0.594143	0.942044	3.100086
CHS.75	SCNN1D	1	+	1280415	1292029	0.277327	0.462886	1.523270
CHS.76	ACAP3	1	-	1292384	1307925	2.347989	6.309633	20.763800
CHS.77	PUSL1	1	+	1308562	1311810	2.397475	5.395014	17.753963
CHS.78	CPSF3L	1	-	1311585	1324687	4.668650	19.753415	65.004725
CHS.79	CPTP	1	+	1324756	1328896	1.985714	3.919530	12.898428
CHS.80	TAS1R3	1	+	1331280	1335320	0.765010	0.879082	2.892892
CHS.81	DVL1	1	-	1335278	1349142	2.418435	5.295160	17.425362
CHS.101	ATAD3C	1	+	1448004	1470221	0.088491	0.152907	0.503189
CHS.95	ANKRD65	1	-	1418420	1422561	0.000000	0.000000	0.000000
CHS.96	LOC105378585	1	+	1420166	1423769	0.000000	0.000000	0.000000
CHS.98	VWA1	1	+	1428141	1447244	0.011819	0.014451	0.047557
CHS.100	LOC102724312	1	-	1430157	1434573	0.000000	0.000000	0.000000
CHS.99	LOC107985729	1	+	1433233	1435626	0.000000	0.000000	0.000000
CHS.89	CCNL2	1	-	1385711	1399338	10.763284	38.827801	127.774896
CHS.90	RP4-758J18.2	1	+	1399527	1402046	2.272534	5.149140	16.944839
CHS.91	MRPL20	1	-	1401896	1407313	5.006814	12.943346	42.594086
CHS.107	RP5-832C2.5	1	+	1574975	1577075	2.608662	2.880423	9.478924
CHS.103	ATAD3B	1	+	1471732	1509467	1.803636	7.274488	23.938953
CHS.104	ATAD3A	1	+	1512143	1534689	2.000549	6.295647	20.717776
CHS.105	TMEM240	1	-	1534778	1540360	0.000000	0.000000	0.000000
CHS.106	SSU72	1	-	1541673	1574882	13.530667	58.104265	191.210066
CHS.130	LOC105378589	1	-	2013065	2019186	0.000000	0.000000	0.000000
CHS.131	GABRD	1	+	2019329	2030769	0.000000	0.000000	0.000000
CHS.109	C1orf233	1	-	1598008	1600096	0.736716	0.813464	2.676957
