Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHS.1	DDX11L1	1	+	11874	14409	0.921311	0.725701	2.569132
CHS.2	WASH7P	1	-	14362	29370	13.491555	12.786074	45.265339
CHS.12	-	1	-	352749	356597	0.000000	0.000000	0.000000
CHS.7	LOC100996442	1	-	91169	297504	1.633703	30.407918	107.650299
CHS.8	LOC729737	1	-	134773	140566	8.345840	6.852216	24.258255
CHS.9	LOC102725121	1	+	181049	184258	2.055570	3.360908	11.898309
CHS.10	LOC102723897	1	-	184878	199860	7.603777	10.870821	38.484948
CHS.11	LOC107985721	1	+	200442	203983	0.000000	0.000000	0.000000
CHS.31	LINC01128	1	+	827591	859446	1.555699	3.437778	12.170444
CHS.32	LOC107984850	1	+	860226	868202	0.000000	0.000000	0.000000
CHS.33	FAM41C	1	-	868071	876802	0.471211	0.371165	1.314000
CHS.36	LOC284600	1	+	905115	921990	0.135804	0.162946	0.576864
CHS.37	LOC107985728	1	-	916309	925604	0.000000	0.000000	0.000000
CHS.38	LOC100130417	1	-	916818	919692	0.000000	0.000000	0.000000
CHS.39	SAMD11	1	+	923923	948974	0.682556	0.658192	2.330135
CHS.40	NOC2L	1	-	941883	960806	2.788208	8.206048	29.051102
CHS.42	KLHL17	1	+	960103	966184	1.091572	2.293024	8.117776
CHS.41	PLEKHN1	1	+	965820	975108	0.000000	0.000000	0.000000
CHS.43	PERM1	1	-	974999	982117	0.183904	0.644523	2.281745
CHS.48	AGRN	1	+	1020102	1056119	0.316307	0.678545	2.402189
CHS.45	HES4	1	-	990339	1001611	0.207428	0.178386	0.631523
CHS.46	ISG15	1	+	1001053	1014597	19.048340	31.177843	110.375992
CHS.47	-	1	-	1007921	1014068	0.481783	0.379492	1.343481
CHS.49	LOC100288175	1	+	1058784	1068601	0.118790	0.242343	0.857945
CHS.50	RP11-54O7.18	1	-	1062208	1063288	0.000000	0.000000	0.000000
CHS.51	RNF223	1	-	1065635	1074307	0.195063	0.211269	0.747937
CHS.52	LOC105378948	1	-	1066420	1069029	0.000000	0.000000	0.000000
CHS.16	LOC100132287	1	-	489361	499772	3.716487	6.903479	24.439738
CHS.17	-	1	-	499860	523759	4.203813	8.119623	28.745139
CHS.18	RP5-857K21.4	1	-	585989	611297	0.000000	0.000000	0.000000
CHS.19	LOC101928626	1	-	627380	634927	0.052666	0.054341	0.192377
CHS.20	OR4F16	1	-	683910	720118	0.046698	0.123802	0.438284
CHS.21	LOC100133331	1	-	724520	730351	0.000000	0.000000	0.000000
CHS.23	LOC107984841	1	-	732159	746737	2.903734	27.462168	97.221738
CHS.24	LOC107984847	1	-	735566	738953	6.095322	4.871493	17.246088
CHS.22	LOC107984849	1	-	739962	740334	14.350153	11.303374	40.016272
CHS.25	LOC100288069	1	-	755864	778688	2.903112	6.797131	24.063246
CHS.27	LOC105378580	1	+	778760	810065	0.823743	4.590785	16.252326
CHS.26	RP11-206L10.9	1	+	784370	787186	0.692197	0.598890	2.120193
CHS.28	FAM87B	1	+	817371	819834	2.217592	1.746761	6.183893
CHS.30	LINC00115	1	-	826206	827522	4.119808	3.245103	11.488335
CHS.93	RP4-758J18.13	1	+	1409096	1410618	1.021799	0.804854	2.849349
CHS.94	LOC107984868	1	-	1411649	1416247	0.081333	0.074803	0.264818
CHS.95	ANKRD65	1	-	1418420	1422561	0.000000	0.000000	0.000000
CHS.96	LOC105378585	1	+	1420166	1423769	0.000000	0.000000	0.000000
CHS.98	VWA1	1	+	1428141	1447244	0.000000	0.000000	0.000000
CHS.100	LOC102724312	1	-	1430157	1434573	0.000000	0.000000	0.000000
