Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHS.32	LOC107984850	1	+	860226	868202	0.000000	0.000000	0.000000
CHS.33	FAM41C	1	-	868071	876802	0.000000	0.000000	0.000000
CHS.45	HES4	1	-	990339	1001611	0.050421	0.406962	1.463380
CHS.46	ISG15	1	+	1001053	1014597	4.151515	11.323075	40.716251
CHS.47	-	1	-	1007921	1014068	0.070957	0.093620	0.336646
CHS.36	LOC284600	1	+	905115	921990	0.034225	0.058902	0.211803
CHS.37	LOC107985728	1	-	916309	925604	0.000000	0.000000	0.000000
CHS.38	LOC100130417	1	-	916818	919692	0.000000	0.000000	0.000000
CHS.39	SAMD11	1	+	923923	948974	0.155578	0.961923	3.458945
CHS.40	NOC2L	1	-	941883	960806	1.619448	9.944673	35.759701
CHS.42	KLHL17	1	+	960103	966184	0.428976	1.493416	5.370121
CHS.41	PLEKHN1	1	+	965820	975108	0.000000	0.000000	0.000000
CHS.43	PERM1	1	-	974999	982117	0.000000	0.000000	0.000000
CHS.49	LOC100288175	1	+	1058784	1068601	0.115579	0.394959	1.420220
CHS.50	RP11-54O7.18	1	-	1062208	1063288	0.000000	0.000000	0.000000
CHS.51	RNF223	1	-	1065635	1074307	0.000000	0.000000	0.000000
CHS.52	LOC105378948	1	-	1066420	1069029	0.183495	0.242102	0.870567
CHS.59	LINC01342	1	+	1137017	1144056	0.000000	0.000000	0.000000
CHS.48	AGRN	1	+	1020102	1056119	0.108845	0.785825	2.825719
CHS.54	C1orf159	1	-	1081811	1116356	0.708826	2.846362	10.235133
CHS.62	-	1	+	1159664	1170340	0.016560	0.021853	0.078581
CHS.63	TTLL10-AS1	1	-	1173055	1179648	0.000000	0.000000	0.000000
CHS.64	TTLL10	1	+	1173709	1197936	0.000000	0.000000	0.000000
CHS.66	TNFRSF18	1	-	1203508	1207900	0.126274	0.186413	0.670317
CHS.67	TNFRSF4	1	-	1211326	1216812	0.649549	1.382006	4.969507
CHS.68	SDF4	1	-	1216760	1232067	6.791760	49.276848	177.192902
CHS.69	B3GALT6	1	+	1232249	1235041	3.002506	3.961489	14.244980
CHS.93	RP4-758J18.13	1	+	1409096	1410618	0.685103	0.903921	3.250378
CHS.94	LOC107984868	1	-	1411649	1416247	0.118760	0.267999	0.963689
CHS.95	ANKRD65	1	-	1418420	1422561	0.000000	0.000000	0.000000
CHS.96	LOC105378585	1	+	1420166	1423769	0.000000	0.000000	0.000000
CHS.101	ATAD3C	1	+	1448004	1470221	0.025832	0.053337	0.191791
CHS.98	VWA1	1	+	1428141	1447244	0.000000	0.000000	0.000000
CHS.100	LOC102724312	1	-	1430157	1434573	0.000000	0.000000	0.000000
CHS.99	LOC107985729	1	+	1433233	1435626	0.000000	0.000000	0.000000
CHS.71	FAM132A	1	-	1242446	1247218	0.251144	0.829915	2.984262
CHS.72	RP5-902P8.12	1	-	1249777	1251334	0.091142	0.120252	0.432411
CHS.73	UBE2J2	1	-	1253909	1273854	4.666821	15.539771	55.878918
CHS.74	LOC101928895	1	+	1274002	1279447	0.220227	0.357801	1.286605
CHS.75	SCNN1D	1	+	1280415	1292029	0.319025	1.474299	5.301380
CHS.76	ACAP3	1	-	1292384	1307925	1.740242	8.146140	29.292421
CHS.77	PUSL1	1	+	1308562	1311810	1.870195	5.311619	19.099863
CHS.78	CPSF3L	1	-	1311585	1324687	4.108434	23.545204	84.665367
CHS.79	CPTP	1	+	1324756	1328896	1.352296	3.316260	11.924825
CHS.80	TAS1R3	1	+	1331280	1335320	0.884304	1.511618	5.435575
CHS.81	DVL1	1	-	1335278	1349142	1.945015	4.411969	15.864842
CHS.83	MXRA8	1	-	1352689	1363541	0.537779	0.904628	3.252921
CHS.103	ATAD3B	1	+	1471732	1509467	0.893399	9.885143	35.545639
CHS.86	AURKAIP1	1	-	1373730	1375438	8.286600	19.426739	69.855927
CHS.89	CCNL2	1	-	1385711	1399338	7.243023	33.100468	119.024811
CHS.90	RP4-758J18.2	1	+	1399527	1402046	1.503069	4.288572	15.421126
CHS.91	MRPL20	1	-	1401896	1407313	4.621806	17.136057	61.618950
CHS.109	C1orf233	1	-	1598008	1600096	0.480613	0.634118	2.280203
CHS.110	LOC105378586	1	+	1600314	1607383	0.364403	0.515142	1.852380
CHS.104	ATAD3A	1	+	1512143	1534689	0.872381	3.180039	11.434993
CHS.105	TMEM240	1	-	1534778	1540360	0.000000	0.000000	0.000000
CHS.106	SSU72	1	-	1541673	1574882	9.409097	49.109043	176.589478
CHS.107	RP5-832C2.5	1	+	1574975	1577075	0.659210	0.869758	3.127532
CHS.1	DDX11L1	1	+	11874	14409	3.620046	4.776268	17.174814
CHS.2	WASH7P	1	-	14362	29370	8.431606	12.148391	43.683971
CHS.3	LOC107985730	1	+	29926	31295	0.000000	0.000000	0.000000
CHS.4	FAM138A	1	-	34611	36081	0.000000	0.000000	0.000000
CHS.5	LOC105379212	1	+	51943	53959	0.000000	0.000000	0.000000
CHS.6	OR4F5	1	+	69091	70008	0.073348	0.096775	0.347990
CHS.7	LOC100996442	1	-	91169	297504	1.713459	53.367901	191.903763
CHS.8	LOC729737	1	-	134773	140566	14.780560	23.027721	82.804565
CHS.9	LOC102725121	1	+	181049	184258	1.497632	3.160769	11.365697
CHS.10	LOC102723897	1	-	184878	199860	5.572186	12.097410	43.500656
CHS.11	LOC107985721	1	+	200442	203983	0.000000	0.000000	0.000000
CHS.12	-	1	-	352749	356597	0.000000	0.000000	0.000000
CHS.13	RP4-669L17.2	1	+	360057	366052	0.000000	0.000000	0.000000
CHS.14	RP4-669L17.10	1	-	365395	379972	0.000000	0.000000	0.000000
CHS.15	OR4F29	1	-	450740	451678	0.082002	0.108193	0.389047
CHS.16	LOC100132287	1	-	489361	499772	8.682072	22.909113	82.378082
CHS.17	-	1	-	499860	523759	3.140449	13.172075	47.365002
CHS.18	RP5-857K21.4	1	-	585989	611297	0.000000	0.000000	0.000000
CHS.19	LOC101928626	1	-	627380	634927	0.042283	0.073076	0.262771
CHS.20	OR4F16	1	-	683910	720118	0.025170	0.197670	0.710796
CHS.21	LOC100133331	1	-	724520	730351	0.000000	0.000000	0.000000
CHS.23	LOC107984841	1	-	732159	746737	2.919227	44.533325	160.135818
CHS.24	LOC107984847	1	-	735566	738953	2.311733	3.094754	11.128317
CHS.22	LOC107984849	1	-	739962	740334	6.782458	8.948736	32.178444
CHS.25	LOC100288069	1	-	755864	778688	2.562793	7.753028	27.878841
CHS.27	LOC105378580	1	+	778760	810065	0.381984	2.881151	10.360229
CHS.26	RP11-206L10.9	1	+	784370	787186	0.327132	0.474091	1.704768
CHS.28	FAM87B	1	+	817371	819834	1.272425	1.678830	6.036847
CHS.30	LINC00115	1	-	826206	827522	1.781701	2.350766	8.453037
CHS.31	LINC01128	1	+	827591	859446	0.978750	3.998460	14.377921
CHS.135	PRKCZ	1	+	2050470	2185399	0.200324	8.422419	30.285881
CHS.136	RP5-892K4.1	1	-	2141084	2145279	0.345551	0.455918	1.639420
CHS.139	LOC100506504	1	-	2181811	2184176	2.158247	2.847579	10.239508
CHS.138	FAAP20	1	-	2184460	2212720	0.502748	5.785606	20.804256
CHS.140	LOC105378593	1	+	2205359	2220493	0.099870	0.131768	0.473820
CHS.137	LOC105378592	1	-	2207597	2215193	0.000000	0.000000	0.000000
CHS.142	SKI	1	+	2228695	2310213	1.380731	30.176172	108.509438
CHS.162	FAM213B	1	+	2586460	2591469	0.434049	1.618492	5.819877
CHS.163	MMEL1	1	-	2588555	2633042	0.037870	0.123656	0.444651
CHS.164	LOC105378597	1	+	2633111	2641043	0.906472	1.228501	4.417524
CHS.165	TTC34	1	-	2636988	2789737	0.000000	0.000000	0.000000
CHS.166	LOC105378603	1	-	2700540	2702756	0.000000	0.000000	0.000000
CHS.167	LOC105378602	1	+	2701377	2702276	0.000000	0.000000	0.000000
CHS.168	LOC105378601	1	+	2762488	2763387	0.000000	0.000000	0.000000
CHS.169	LOC105378598	1	+	2763419	2784745	0.000000	0.000000	0.000000
CHS.170	LOC107985732	1	+	2764564	2765629	0.000000	0.000000	0.000000
CHS.171	LOC105378600	1	+	2766073	2766972	0.000000	0.000000	0.000000
CHS.172	LOC107984904	1	+	2771826	2772891	0.000000	0.000000	0.000000
CHS.173	LOC105378599	1	+	2773495	2774394	0.000000	0.000000	0.000000
CHS.188	RP11-168F9.2	1	+	3487246	3487627	0.248691	0.328121	1.179880
CHS.111	MIB2	1	+	1615188	1630610	3.091774	23.473660	84.408104
CHS.113	MMP23B	1	+	1631681	1634654	0.454127	0.866804	3.116909
CHS.114	CDK11B	1	-	1635226	1659839	16.933771	33.155106	119.221283
CHS.116	SLC35E2B	1	-	1660957	1693000	5.057692	18.096426	65.072304
CHS.117	LOC107985731	1	+	1692543	1699202	0.000000	0.000000	0.000000
CHS.118	MMP23A	1	+	1699939	1701808	0.000000	0.000000	0.000000
CHS.119	CDK11A	1	-	1702383	1724837	17.521275	50.300903	180.875244
CHS.120	SLC35E2	1	-	1724838	1746271	2.949709	14.699666	52.858013
CHS.121	NADK	1	-	1751232	1780514	28.120106	118.321884	425.469482
CHS.123	GNB1	1	-	1785122	1891117	8.910034	144.424179	519.329834
CHS.124	LOC105378949	1	+	1891057	1892722	0.386395	0.672945	2.419820
CHS.126	CALML6	1	+	1913751	1917296	0.000000	0.000000	0.000000
CHS.127	TMEM52	1	-	1917588	1919301	0.000000	0.000000	0.000000
CHS.128	CFAP74	1	-	1921951	2003837	0.004904	0.017648	0.063461
CHS.129	LOC107984872	1	+	1955857	1958986	0.000000	0.000000	0.000000
CHS.180	PRDM16	1	+	3069025	3438621	0.003023	0.028285	0.101710
