Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHS.31	LINC01128	1	+	827591	859446	1.771036	4.562966	15.415260
CHS.32	LOC107984850	1	+	860226	868202	0.245268	0.260679	0.880664
CHS.33	FAM41C	1	-	868071	876802	0.297378	0.271136	0.915991
CHS.36	LOC284600	1	+	905115	921990	0.000000	0.000000	0.000000
CHS.37	LOC107985728	1	-	916309	925604	0.000000	0.000000	0.000000
CHS.38	LOC100130417	1	-	916818	919692	0.000000	0.000000	0.000000
CHS.39	SAMD11	1	+	923923	948974	0.141313	0.603781	2.039780
CHS.40	NOC2L	1	-	941883	960806	5.294855	16.116619	54.447457
CHS.42	KLHL17	1	+	960103	966184	1.401987	1.849436	6.248027
CHS.41	PLEKHN1	1	+	965820	975108	0.000000	0.000000	0.000000
CHS.43	PERM1	1	-	974999	982117	0.000000	0.000000	0.000000
CHS.45	HES4	1	-	990339	1001611	0.289704	1.416107	4.784093
CHS.46	ISG15	1	+	1001053	1014597	56.216705	106.380450	359.389572
CHS.47	-	1	-	1007921	1014068	1.695109	1.545526	5.221315
CHS.59	LINC01342	1	+	1137017	1144056	0.000000	0.000000	0.000000
CHS.62	-	1	+	1159664	1170340	0.027304	0.024899	0.084118
CHS.66	TNFRSF18	1	-	1203508	1207900	0.074287	0.188196	0.635789
CHS.63	TTLL10-AS1	1	-	1173055	1179648	0.075024	0.078779	0.266144
CHS.64	TTLL10	1	+	1173709	1197936	0.024538	0.172444	0.582575
CHS.48	AGRN	1	+	1020102	1056119	1.255036	3.750595	12.670793
CHS.49	LOC100288175	1	+	1058784	1068601	0.798599	1.885853	6.371058
CHS.50	RP11-54O7.18	1	-	1062208	1063288	0.000000	0.000000	0.000000
CHS.51	RNF223	1	-	1065635	1074307	0.219479	2.232983	7.543782
CHS.52	LOC105378948	1	-	1066420	1069029	0.000000	0.000000	0.000000
CHS.54	C1orf159	1	-	1081811	1116356	1.274039	4.671609	15.782293
CHS.79	CPTP	1	+	1324756	1328896	2.850766	4.996154	16.878717
CHS.80	TAS1R3	1	+	1331280	1335320	0.775035	1.168144	3.946389
CHS.81	DVL1	1	-	1335278	1349142	4.662007	6.851894	23.148044
CHS.83	MXRA8	1	-	1352689	1363541	1.187788	3.934296	13.291399
CHS.1	DDX11L1	1	+	11874	14409	3.558589	3.244565	10.961250
CHS.2	WASH7P	1	-	14362	29370	11.382962	11.194333	37.818290
CHS.3	LOC107985730	1	+	29926	31295	0.000000	0.000000	0.000000
CHS.4	FAM138A	1	-	34611	36081	0.000000	0.000000	0.000000
CHS.5	LOC105379212	1	+	51943	53959	0.000000	0.000000	0.000000
CHS.6	OR4F5	1	+	69091	70008	0.000000	0.000000	0.000000
CHS.7	LOC100996442	1	-	91169	297504	1.048882	23.033339	77.814505
CHS.8	LOC729737	1	-	134773	140566	7.281114	7.318299	24.723720
CHS.9	LOC102725121	1	+	181049	184258	0.236325	0.469749	1.586974
CHS.10	LOC102723897	1	-	184878	199860	7.073376	11.804491	39.879610
CHS.11	LOC107985721	1	+	200442	203983	0.000000	0.000000	0.000000
