Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHS.32	LOC107984850	1	+	860226	868202	0.296791	0.189872	0.692745
CHS.33	FAM41C	1	-	868071	876802	0.000000	0.000000	0.000000
CHS.45	HES4	1	-	990339	1001611	0.456103	1.896560	6.919576
CHS.46	ISG15	1	+	1001053	1014597	9.519481	10.856064	39.608219
CHS.47	-	1	-	1007921	1014068	0.374684	0.205630	0.750239
CHS.48	AGRN	1	+	1020102	1056119	0.113984	0.156727	0.571818
CHS.36	LOC284600	1	+	905115	921990	0.017341	0.012414	0.045291
CHS.37	LOC107985728	1	-	916309	925604	0.000000	0.000000	0.000000
CHS.38	LOC100130417	1	-	916818	919692	0.000000	0.000000	0.000000
CHS.39	SAMD11	1	+	923923	948974	0.799917	0.537439	1.960841
CHS.40	NOC2L	1	-	941883	960806	3.654108	9.194430	33.545766
CHS.42	KLHL17	1	+	960103	966184	1.498471	2.808762	10.247736
CHS.41	PLEKHN1	1	+	965820	975108	0.000000	0.000000	0.000000
CHS.43	PERM1	1	-	974999	982117	0.405633	0.232560	0.848491
CHS.49	LOC100288175	1	+	1058784	1068601	0.099883	0.141975	0.517994
CHS.50	RP11-54O7.18	1	-	1062208	1063288	0.000000	0.000000	0.000000
CHS.51	RNF223	1	-	1065635	1074307	0.000000	0.000000	0.000000
CHS.52	LOC105378948	1	-	1066420	1069029	0.000000	0.000000	0.000000
CHS.59	LINC01342	1	+	1137017	1144056	0.000000	0.000000	0.000000
CHS.62	-	1	+	1159664	1170340	0.167937	0.092184	0.336331
CHS.66	TNFRSF18	1	-	1203508	1207900	0.307496	0.188821	0.688910
CHS.63	TTLL10-AS1	1	-	1173055	1179648	0.000000	0.000000	0.000000
CHS.64	TTLL10	1	+	1173709	1197936	0.000000	0.000000	0.000000
CHS.54	C1orf159	1	-	1081811	1116356	1.503627	2.640669	9.634447
CHS.69	B3GALT6	1	+	1232249	1235041	6.041533	3.315652	12.097115
CHS.71	FAM132A	1	-	1242446	1247218	0.320680	0.528521	1.928302
CHS.72	RP5-902P8.12	1	-	1249777	1251334	0.260590	0.143014	0.521786
CHS.67	TNFRSF4	1	-	1211326	1216812	1.068101	0.853583	3.114287
CHS.68	SDF4	1	-	1216760	1232067	16.609072	48.524779	177.042071
CHS.74	LOC101928895	1	+	1274002	1279447	1.061041	0.717052	2.616156
CHS.75	SCNN1D	1	+	1280415	1292029	0.614213	0.474540	1.731353
CHS.73	UBE2J2	1	-	1253909	1273854	9.082940	12.885605	47.012974
CHS.76	ACAP3	1	-	1292384	1307925	4.188772	8.670650	31.634762
CHS.79	CPTP	1	+	1324756	1328896	3.104875	2.977853	10.864662
CHS.80	TAS1R3	1	+	1331280	1335320	1.035329	0.591322	2.157432
CHS.81	DVL1	1	-	1335278	1349142	3.020130	2.746547	10.020742
CHS.77	PUSL1	1	+	1308562	1311810	3.715986	3.964798	14.465516
CHS.78	CPSF3L	1	-	1311585	1324687	10.214702	23.106867	84.305125
CHS.94	LOC107984868	1	-	1411649	1416247	0.000000	0.000000	0.000000
CHS.93	RP4-758J18.13	1	+	1409096	1410618	0.925957	0.508174	1.854067
CHS.98	VWA1	1	+	1428141	1447244	0.000000	0.000000	0.000000
CHS.100	LOC102724312	1	-	1430157	1434573	0.000000	0.000000	0.000000
CHS.99	LOC107985729	1	+	1433233	1435626	0.000000	0.000000	0.000000
CHS.101	ATAD3C	1	+	1448004	1470221	0.270078	0.231953	0.846279
CHS.103	ATAD3B	1	+	1471732	1509467	3.110607	7.480913	27.294021
CHS.105	TMEM240	1	-	1534778	1540360	0.251390	0.222079	0.810251
CHS.104	ATAD3A	1	+	1512143	1534689	2.649484	4.410813	16.092798
CHS.83	MXRA8	1	-	1352689	1363541	1.510070	2.076025	7.574351
CHS.86	AURKAIP1	1	-	1373730	1375438	11.678921	11.562225	42.184637
CHS.89	CCNL2	1	-	1385711	1399338	15.901153	30.962041	112.964632
CHS.90	RP4-758J18.2	1	+	1399527	1402046	3.661329	3.494067	12.748061
CHS.91	MRPL20	1	-	1401896	1407313	8.470447	14.164495	51.678987
CHS.1	DDX11L1	1	+	11874	14409	2.561208	1.405616	5.128372
CHS.2	WASH7P	1	-	14362	29370	11.043441	7.345083	26.798447
CHS.3	LOC107985730	1	+	29926	31295	0.000000	0.000000	0.000000
CHS.4	FAM138A	1	-	34611	36081	0.000000	0.000000	0.000000
CHS.5	LOC105379212	1	+	51943	53959	0.000000	0.000000	0.000000
CHS.6	OR4F5	1	+	69091	70008	0.000000	0.000000	0.000000
CHS.7	LOC100996442	1	-	91169	297504	2.838361	35.864795	130.852272
CHS.8	LOC729737	1	-	134773	140566	2.183443	2.191517	7.995722
CHS.9	LOC102725121	1	+	181049	184258	4.681330	4.109641	14.993976
CHS.10	LOC102723897	1	-	184878	199860	7.791230	7.392254	26.970549
CHS.11	LOC107985721	1	+	200442	203983	0.000000	0.000000	0.000000
CHS.12	-	1	-	352749	356597	0.414768	0.227629	0.830501
CHS.13	RP4-669L17.2	1	+	360057	366052	0.000000	0.000000	0.000000
CHS.14	RP4-669L17.10	1	-	365395	379972	0.000000	0.000000	0.000000
CHS.15	OR4F29	1	-	450740	451678	0.000000	0.000000	0.000000
CHS.16	LOC100132287	1	-	489361	499772	6.627941	6.855362	25.011706
CHS.17	-	1	-	499860	523759	7.544348	10.300151	37.579977
CHS.18	RP5-857K21.4	1	-	585989	611297	0.000000	0.000000	0.000000
CHS.19	LOC101928626	1	-	627380	634927	0.073944	0.053158	0.193945
CHS.20	OR4F16	1	-	683910	720118	0.030913	0.057742	0.210671
CHS.21	LOC100133331	1	-	724520	730351	0.000000	0.000000	0.000000
