Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHS.1	DDX11L1	1	+	11874	14409	0.664914	1.758797	5.822320
CHS.2	WASH7P	1	-	14362	29370	3.538139	11.242729	37.217922
CHS.30	LINC00115	1	-	826206	827522	1.805998	4.777134	15.814222
CHS.32	LOC107984850	1	+	860226	868202	0.165013	0.574005	1.900187
CHS.33	FAM41C	1	-	868071	876802	0.000000	0.000000	0.000000
CHS.31	LINC01128	1	+	827591	859446	0.451207	4.127412	13.663381
CHS.49	LOC100288175	1	+	1058784	1068601	0.161135	2.154048	7.130760
CHS.50	RP11-54O7.18	1	-	1062208	1063288	0.000000	0.000000	0.000000
CHS.51	RNF223	1	-	1065635	1074307	0.000000	0.000000	0.000000
CHS.52	LOC105378948	1	-	1066420	1069029	0.350485	0.927085	3.069022
CHS.59	LINC01342	1	+	1137017	1144056	0.115432	0.305335	1.010780
CHS.45	HES4	1	-	990339	1001611	0.172148	2.483253	8.220559
CHS.46	ISG15	1	+	1001053	1014597	6.926477	37.743484	124.945992
CHS.47	-	1	-	1007921	1014068	0.176444	0.466721	1.545032
CHS.62	-	1	+	1159664	1170340	0.018180	0.048097	0.159219
CHS.66	TNFRSF18	1	-	1203508	1207900	0.000000	0.000000	0.000000
CHS.63	TTLL10-AS1	1	-	1173055	1179648	0.000000	0.000000	0.000000
CHS.64	TTLL10	1	+	1173709	1197936	0.000000	0.000000	0.000000
CHS.48	AGRN	1	+	1020102	1056119	0.240562	1.686230	5.582094
CHS.54	C1orf159	1	-	1081811	1116356	0.343315	2.780153	9.203415
CHS.36	LOC284600	1	+	905115	921990	0.000000	0.000000	0.000000
CHS.37	LOC107985728	1	-	916309	925604	0.000000	0.000000	0.000000
CHS.38	LOC100130417	1	-	916818	919692	0.000000	0.000000	0.000000
CHS.39	SAMD11	1	+	923923	948974	0.210150	0.680523	2.252802
CHS.40	NOC2L	1	-	941883	960806	1.091981	14.466213	47.888943
CHS.42	KLHL17	1	+	960103	966184	0.473354	2.452440	8.118554
CHS.41	PLEKHN1	1	+	965820	975108	0.000000	0.000000	0.000000
CHS.43	PERM1	1	-	974999	982117	0.037719	0.443927	1.469577
CHS.74	LOC101928895	1	+	1274002	1279447	0.000000	0.000000	0.000000
CHS.72	RP5-902P8.12	1	-	1249777	1251334	0.141471	0.374212	1.238791
CHS.71	FAM132A	1	-	1242446	1247218	0.076022	0.338867	1.121786
CHS.69	B3GALT6	1	+	1232249	1235041	1.461869	3.866862	12.800857
CHS.67	TNFRSF4	1	-	1211326	1216812	0.282212	1.118187	3.701644
CHS.68	SDF4	1	-	1216760	1232067	3.937421	59.129993	195.743866
CHS.75	SCNN1D	1	+	1280415	1292029	0.156472	3.585786	11.870382
CHS.73	UBE2J2	1	-	1253909	1273854	2.204338	15.655444	51.825771
CHS.76	ACAP3	1	-	1292384	1307925	1.172698	10.120239	33.502029
CHS.79	CPTP	1	+	1324756	1328896	1.174235	5.552785	18.381935
CHS.80	TAS1R3	1	+	1331280	1335320	0.460187	1.555076	5.147921
CHS.81	DVL1	1	-	1335278	1349142	1.860680	6.677299	22.104525
CHS.83	MXRA8	1	-	1352689	1363541	0.405067	3.152994	10.437670
CHS.86	AURKAIP1	1	-	1373730	1375438	4.948172	23.275805	77.052208
CHS.77	PUSL1	1	+	1308562	1311810	0.705169	3.792179	12.553626
CHS.78	CPSF3L	1	-	1311585	1324687	2.861831	31.551159	104.446930
CHS.93	RP4-758J18.13	1	+	1409096	1410618	0.368133	0.973767	3.223557
CHS.94	LOC107984868	1	-	1411649	1416247	0.028844	0.130498	0.432002
CHS.95	ANKRD65	1	-	1418420	1422561	0.000000	0.000000	0.000000
CHS.96	LOC105378585	1	+	1420166	1423769	0.000000	0.000000	0.000000
CHS.98	VWA1	1	+	1428141	1447244	0.000000	0.000000	0.000000
CHS.100	LOC102724312	1	-	1430157	1434573	0.000000	0.000000	0.000000
CHS.99	LOC107985729	1	+	1433233	1435626	0.000000	0.000000	0.000000
CHS.90	RP4-758J18.2	1	+	1399527	1402046	2.451612	7.444356	24.643787
CHS.91	MRPL20	1	-	1401896	1407313	1.210175	11.042975	36.556656
CHS.89	CCNL2	1	-	1385711	1399338	5.252859	42.820831	141.754044
CHS.101	ATAD3C	1	+	1448004	1470221	0.000000	0.000000	0.000000
CHS.103	ATAD3B	1	+	1471732	1509467	0.932133	11.583866	38.347221
CHS.104	ATAD3A	1	+	1512143	1534689	0.976225	7.428278	24.590565
CHS.107	RP5-832C2.5	1	+	1574975	1577075	0.180866	0.478418	1.583753
CHS.109	C1orf233	1	-	1598008	1600096	0.136429	0.360875	1.194641
CHS.7	LOC100996442	1	-	91169	297504	0.452760	30.010273	99.345985
CHS.8	LOC729737	1	-	134773	140566	6.661438	18.067842	59.811768
CHS.9	LOC102725121	1	+	181049	184258	0.000000	0.000000	0.000000
CHS.10	LOC102723897	1	-	184878	199860	2.311622	12.489261	41.344440
CHS.11	LOC107985721	1	+	200442	203983	0.000000	0.000000	0.000000
CHS.12	-	1	-	352749	356597	0.000000	0.000000	0.000000
CHS.13	RP4-669L17.2	1	+	360057	366052	0.000000	0.000000	0.000000
CHS.14	RP4-669L17.10	1	-	365395	379972	0.000000	0.000000	0.000000
CHS.15	OR4F29	1	-	450740	451678	0.000000	0.000000	0.000000
CHS.16	LOC100132287	1	-	489361	499772	2.682426	13.675146	45.270187
CHS.17	-	1	-	499860	523759	0.809766	6.828248	22.604223
CHS.18	RP5-857K21.4	1	-	585989	611297	0.000000	0.000000	0.000000
CHS.19	LOC101928626	1	-	627380	634927	64.764366	268.924683	890.248047
CHS.20	OR4F16	1	-	683910	720118	0.006615	0.059630	0.197398
CHS.21	LOC100133331	1	-	724520	730351	0.000000	0.000000	0.000000
CHS.23	LOC107984841	1	-	732159	746737	0.748922	24.242281	80.251617
CHS.24	LOC107984847	1	-	735566	738953	2.111116	5.900535	19.533127
CHS.22	LOC107984849	1	-	739962	740334	1.595600	4.220601	13.971872
CHS.25	LOC100288069	1	-	755864	778688	0.995644	7.835634	25.939075
CHS.27	LOC105378580	1	+	778760	810065	0.212173	3.157581	10.452854
CHS.26	RP11-206L10.9	1	+	784370	787186	0.502168	1.459030	4.829972
CHS.28	FAM87B	1	+	817371	819834	0.273891	0.724483	2.398327
CHS.110	LOC105378586	1	+	1600314	1607383	0.068169	0.193202	0.639575
CHS.106	SSU72	1	-	1541673	1574882	5.316812	55.135674	182.521072
CHS.111	MIB2	1	+	1615188	1630610	1.747353	31.487425	104.235939
CHS.113	MMP23B	1	+	1631681	1634654	0.000000	0.000000	0.000000
CHS.114	CDK11B	1	-	1635226	1659839	8.479489	51.575066	170.734055
CHS.116	SLC35E2B	1	-	1660957	1693000	2.296155	17.516146	57.985435
CHS.117	LOC107985731	1	+	1692543	1699202	0.000000	0.000000	0.000000
CHS.118	MMP23A	1	+	1699939	1701808	0.000000	0.000000	0.000000
CHS.119	CDK11A	1	-	1702383	1724837	6.302356	37.095234	122.800026
CHS.120	SLC35E2	1	-	1724838	1746271	1.156398	8.144855	26.962719
CHS.128	CFAP74	1	-	1921951	2003837	0.000000	0.000000	0.000000
CHS.129	LOC107984872	1	+	1955857	1958986	0.000000	0.000000	0.000000
CHS.135	PRKCZ	1	+	2050470	2185399	0.082473	5.217115	17.270735
CHS.136	RP5-892K4.1	1	-	2141084	2145279	0.170695	0.451514	1.494691
CHS.139	LOC100506504	1	-	2181811	2184176	0.554296	1.466196	4.853693
CHS.138	FAAP20	1	-	2184460	2212720	0.312543	6.990654	23.141855
CHS.140	LOC105378593	1	+	2205359	2220493	0.072497	0.191765	0.634820
CHS.137	LOC105378592	1	-	2207597	2215193	0.000000	0.000000	0.000000
CHS.121	NADK	1	-	1751232	1780514	13.675113	117.086823	387.604126
CHS.123	GNB1	1	-	1785122	1891117	4.924868	158.605286	525.046814
CHS.124	LOC105378949	1	+	1891057	1892722	0.235178	0.821147	2.718324
CHS.142	SKI	1	+	2228695	2310213	0.872843	33.522831	110.973946
CHS.158	RP3-395M20.12	1	+	2546465	2547460	1.113454	2.945252	9.749961
CHS.144	-	1	+	2314906	2324302	0.020885	0.086695	0.286994
CHS.146	MORN1	1	-	2321253	2391751	0.103299	3.173315	10.504937
