Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHS.13	RP4-669L17.2	1	+	360057	366052	0.000000	0.000000	0.000000
CHS.14	RP4-669L17.10	1	-	365395	379972	0.000000	0.000000	0.000000
CHS.1	DDX11L1	1	+	11874	14409	3.597681	4.805212	16.244648
CHS.2	WASH7P	1	-	14362	29370	9.130448	13.700891	46.317661
CHS.3	LOC107985730	1	+	29926	31295	0.000000	0.000000	0.000000
CHS.4	FAM138A	1	-	34611	36081	0.000000	0.000000	0.000000
CHS.5	LOC105379212	1	+	51943	53959	0.000000	0.000000	0.000000
CHS.6	OR4F5	1	+	69091	70008	0.000000	0.000000	0.000000
CHS.7	LOC100996442	1	-	91169	297504	0.974613	30.598545	103.442406
CHS.8	LOC729737	1	-	134773	140566	11.946694	21.545568	72.837624
CHS.9	LOC102725121	1	+	181049	184258	1.262488	2.697305	9.118594
CHS.10	LOC102723897	1	-	184878	199860	5.202828	13.213679	44.670578
CHS.11	LOC107985721	1	+	200442	203983	0.000000	0.000000	0.000000
CHS.12	-	1	-	352749	356597	0.161716	0.215995	0.730198
CHS.15	OR4F29	1	-	450740	451678	0.057508	0.076810	0.259667
CHS.16	LOC100132287	1	-	489361	499772	5.356778	16.029411	54.189537
CHS.17	-	1	-	499860	523759	2.897792	9.648196	32.616997
CHS.32	LOC107984850	1	+	860226	868202	0.000000	0.000000	0.000000
CHS.33	FAM41C	1	-	868071	876802	0.442763	0.591373	1.999213
CHS.45	HES4	1	-	990339	1001611	0.014338	0.060422	0.204264
CHS.46	ISG15	1	+	1001053	1014597	12.334344	34.182110	115.557114
CHS.47	-	1	-	1007921	1014068	0.498109	0.665295	2.249117
CHS.36	LOC284600	1	+	905115	921990	0.000000	0.000000	0.000000
CHS.37	LOC107985728	1	-	916309	925604	0.000000	0.000000	0.000000
CHS.38	LOC100130417	1	-	916818	919692	0.000000	0.000000	0.000000
CHS.39	SAMD11	1	+	923923	948974	0.229850	0.375835	1.270559
CHS.40	NOC2L	1	-	941883	960806	2.234147	8.682413	29.352039
CHS.42	KLHL17	1	+	960103	966184	0.697308	3.166924	10.706203
CHS.41	PLEKHN1	1	+	965820	975108	0.183553	0.922156	3.117470
CHS.43	PERM1	1	-	974999	982117	0.074254	0.103607	0.350257
CHS.59	LINC01342	1	+	1137017	1144056	0.000000	0.000000	0.000000
CHS.62	-	1	+	1159664	1170340	0.013208	0.017645	0.059652
CHS.63	TTLL10-AS1	1	-	1173055	1179648	0.000000	0.000000	0.000000
CHS.64	TTLL10	1	+	1173709	1197936	0.000000	0.000000	0.000000
CHS.66	TNFRSF18	1	-	1203508	1207900	0.374816	0.659593	2.229841
CHS.48	AGRN	1	+	1020102	1056119	0.246150	0.869787	2.940429
CHS.49	LOC100288175	1	+	1058784	1068601	0.343337	1.187710	4.015209
CHS.50	RP11-54O7.18	1	-	1062208	1063288	0.000000	0.000000	0.000000
CHS.51	RNF223	1	-	1065635	1074307	0.000000	0.000000	0.000000
CHS.52	LOC105378948	1	-	1066420	1069029	0.000000	0.000000	0.000000
CHS.54	C1orf159	1	-	1081811	1116356	0.604906	2.556998	8.644269
