Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHS.3	LOC107985730	1	+	29926	31295	0.100000	0.086194	0.324810
CHS.1	DDX11L1	1	+	11874	14409	0.000000	0.000000	0.000000
CHS.2	WASH7P	1	-	14362	29370	12.506463	8.493435	32.006193
CHS.32	LOC107984850	1	+	860226	868202	0.000000	0.000000	0.000000
CHS.33	FAM41C	1	-	868071	876802	0.000000	0.000000	0.000000
CHS.36	LOC284600	1	+	905115	921990	0.000000	0.000000	0.000000
CHS.37	LOC107985728	1	-	916309	925604	0.000000	0.000000	0.000000
CHS.38	LOC100130417	1	-	916818	919692	0.000000	0.000000	0.000000
CHS.39	SAMD11	1	+	923923	948974	0.153381	0.396950	1.495845
CHS.40	NOC2L	1	-	941883	960806	3.147437	6.974424	26.282036
CHS.42	KLHL17	1	+	960103	966184	0.193499	0.171530	0.646384
CHS.41	PLEKHN1	1	+	965820	975108	0.000000	0.000000	0.000000
CHS.43	PERM1	1	-	974999	982117	0.155919	0.089955	0.338980
CHS.48	AGRN	1	+	1020102	1056119	0.168395	0.154600	0.582587
CHS.45	HES4	1	-	990339	1001611	0.062254	0.047550	0.179186
CHS.46	ISG15	1	+	1001053	1014597	9.849380	11.302218	42.590654
CHS.47	-	1	-	1007921	1014068	0.535082	0.295506	1.113567
CHS.49	LOC100288175	1	+	1058784	1068601	0.629674	0.900662	3.394004
CHS.50	RP11-54O7.18	1	-	1062208	1063288	0.000000	0.000000	0.000000
CHS.51	RNF223	1	-	1065635	1074307	0.000000	0.000000	0.000000
CHS.52	LOC105378948	1	-	1066420	1069029	0.000000	0.000000	0.000000
CHS.54	C1orf159	1	-	1081811	1116356	0.830119	1.440575	5.428582
CHS.72	RP5-902P8.12	1	-	1249777	1251334	0.003209	0.001772	0.006678
CHS.71	FAM132A	1	-	1242446	1247218	0.362470	0.745109	2.807829
CHS.69	B3GALT6	1	+	1232249	1235041	5.713212	3.155191	11.889847
CHS.59	LINC01342	1	+	1137017	1144056	0.000000	0.000000	0.000000
CHS.62	-	1	+	1159664	1170340	0.045747	0.025269	0.095223
CHS.63	TTLL10-AS1	1	-	1173055	1179648	0.000000	0.000000	0.000000
CHS.64	TTLL10	1	+	1173709	1197936	0.000000	0.000000	0.000000
CHS.66	TNFRSF18	1	-	1203508	1207900	0.755822	0.467039	1.759965
CHS.67	TNFRSF4	1	-	1211326	1216812	0.050395	0.040527	0.152720
CHS.68	SDF4	1	-	1216760	1232067	16.669605	55.525444	209.239021
CHS.74	LOC101928895	1	+	1274002	1279447	2.043724	1.680195	6.331553
CHS.75	SCNN1D	1	+	1280415	1292029	0.160986	0.124137	0.467793
CHS.73	UBE2J2	1	-	1253909	1273854	9.441229	13.700482	51.628140
CHS.93	RP4-758J18.13	1	+	1409096	1410618	0.304290	0.168048	0.633262
CHS.94	LOC107984868	1	-	1411649	1416247	0.000000	0.000000	0.000000
CHS.95	ANKRD65	1	-	1418420	1422561	0.000000	0.000000	0.000000
CHS.96	LOC105378585	1	+	1420166	1423769	0.000000	0.000000	0.000000
CHS.98	VWA1	1	+	1428141	1447244	0.000000	0.000000	0.000000
CHS.100	LOC102724312	1	-	1430157	1434573	0.000000	0.000000	0.000000
CHS.99	LOC107985729	1	+	1433233	1435626	0.000000	0.000000	0.000000
CHS.107	RP5-832C2.5	1	+	1574975	1577075	4.643503	2.564431	9.663660
CHS.76	ACAP3	1	-	1292384	1307925	3.178245	3.586445	13.514960
CHS.77	PUSL1	1	+	1308562	1311810	3.529752	4.589365	17.294309
CHS.78	CPSF3L	1	-	1311585	1324687	7.252153	13.184641	49.684276
CHS.79	CPTP	1	+	1324756	1328896	3.768416	3.699223	13.939948
CHS.80	TAS1R3	1	+	1331280	1335320	0.863308	0.878733	3.311369
CHS.81	DVL1	1	-	1335278	1349142	2.755970	2.532657	9.543925
CHS.83	MXRA8	1	-	1352689	1363541	0.506434	0.854722	3.220886
CHS.86	AURKAIP1	1	-	1373730	1375438	24.886749	23.752799	89.508736
CHS.89	CCNL2	1	-	1385711	1399338	13.488268	21.082131	79.444740
CHS.90	RP4-758J18.2	1	+	1399527	1402046	2.286538	2.307614	8.695884
CHS.91	MRPL20	1	-	1401896	1407313	7.090917	12.479068	47.025430
CHS.7	LOC100996442	1	-	91169	297504	4.418915	56.326922	212.259267
CHS.8	LOC729737	1	-	134773	140566	20.891489	13.350970	50.311057
CHS.9	LOC102725121	1	+	181049	184258	3.328047	3.655403	13.774818
CHS.10	LOC102723897	1	-	184878	199860	8.404204	8.599708	32.406663
CHS.11	LOC107985721	1	+	200442	203983	0.064618	0.035686	0.134477
CHS.12	-	1	-	352749	356597	0.000000	0.000000	0.000000
CHS.13	RP4-669L17.2	1	+	360057	366052	0.000000	0.000000	0.000000
CHS.14	RP4-669L17.10	1	-	365395	379972	0.000000	0.000000	0.000000
CHS.15	OR4F29	1	-	450740	451678	0.000000	0.000000	0.000000
CHS.16	LOC100132287	1	-	489361	499772	16.389202	19.427458	73.209360
CHS.17	-	1	-	499860	523759	11.311962	15.561548	58.641279
CHS.18	RP5-857K21.4	1	-	585989	611297	0.000000	0.000000	0.000000
CHS.19	LOC101928626	1	-	627380	634927	109.941597	79.533275	299.708807
CHS.20	OR4F16	1	-	683910	720118	0.101445	0.190698	0.718617
CHS.21	LOC100133331	1	-	724520	730351	0.000000	0.000000	0.000000
CHS.23	LOC107984841	1	-	732159	746737	9.341100	64.664597	243.678500
CHS.24	LOC107984847	1	-	735566	738953	16.168478	9.060001	34.141208
CHS.22	LOC107984849	1	-	739962	740334	25.611609	14.144322	53.300684
CHS.25	LOC100288069	1	-	755864	778688	5.072434	9.374954	35.328059
CHS.27	LOC105378580	1	+	778760	810065	0.316189	1.453692	5.478013
CHS.26	RP11-206L10.9	1	+	784370	787186	0.851517	0.516540	1.946502
CHS.28	FAM87B	1	+	817371	819834	1.008104	0.556738	2.097980
CHS.30	LINC00115	1	-	826206	827522	5.598709	3.091955	11.651553
CHS.31	LINC01128	1	+	827591	859446	0.694312	0.872080	3.286300
CHS.101	ATAD3C	1	+	1448004	1470221	0.000000	0.000000	0.000000
CHS.103	ATAD3B	1	+	1471732	1509467	2.325426	7.305544	27.529809
CHS.104	ATAD3A	1	+	1512143	1534689	3.222957	5.435010	20.480990
CHS.105	TMEM240	1	-	1534778	1540360	0.000000	0.000000	0.000000
CHS.106	SSU72	1	-	1541673	1574882	22.789516	47.838087	180.270408
CHS.131	GABRD	1	+	2019329	2030769	0.000000	0.000000	0.000000
CHS.135	PRKCZ	1	+	2050470	2185399	0.401119	5.375154	20.255433
CHS.136	RP5-892K4.1	1	-	2141084	2145279	0.909437	0.502248	1.892642
CHS.139	LOC100506504	1	-	2181811	2184176	2.623099	1.448638	5.458969
CHS.138	FAAP20	1	-	2184460	2212720	0.540699	3.965129	14.941974
CHS.140	LOC105378593	1	+	2205359	2220493	0.108700	0.060031	0.226217
CHS.137	LOC105378592	1	-	2207597	2215193	0.000000	0.000000	0.000000
CHS.142	SKI	1	+	2228695	2310213	3.601304	27.224565	102.591548
CHS.109	C1orf233	1	-	1598008	1600096	0.561513	0.310102	1.168573
CHS.110	LOC105378586	1	+	1600314	1607383	0.446347	0.267236	1.007037
CHS.111	MIB2	1	+	1615188	1630610	6.253963	14.103444	53.146642
CHS.113	MMP23B	1	+	1631681	1634654	0.138704	0.085231	0.321180
CHS.114	CDK11B	1	-	1635226	1659839	45.151585	58.586578	220.774429
CHS.116	SLC35E2B	1	-	1660957	1693000	9.314827	12.418880	46.798621
CHS.117	LOC107985731	1	+	1692543	1699202	0.000000	0.000000	0.000000
CHS.118	MMP23A	1	+	1699939	1701808	0.000000	0.000000	0.000000
CHS.119	CDK11A	1	-	1702383	1724837	45.100311	54.158053	204.086220
CHS.120	SLC35E2	1	-	1724838	1746271	6.195850	8.589572	32.368469
CHS.121	NADK	1	-	1751232	1780514	75.056465	126.649699	477.259740
CHS.123	GNB1	1	-	1785122	1891117	12.535800	75.400646	284.135636
CHS.124	LOC105378949	1	+	1891057	1892722	0.000000	0.000000	0.000000
CHS.126	CALML6	1	+	1913751	1917296	0.271710	0.270849	1.020653
CHS.127	TMEM52	1	-	1917588	1919301	0.000000	0.000000	0.000000
CHS.128	CFAP74	1	-	1921951	2003837	0.000000	0.000000	0.000000
CHS.129	LOC107984872	1	+	1955857	1958986	0.000000	0.000000	0.000000
CHS.144	-	1	+	2314906	2324302	0.246860	0.287038	1.081657
CHS.146	MORN1	1	-	2321253	2391751	0.380654	2.193784	8.266935
CHS.145	LOC100129534	1	-	2350414	2352661	1.120441	0.618777	2.331766
CHS.147	-	1	+	2363006	2367698	0.000000	0.000000	0.000000
CHS.148	RER1	1	+	2385067	2405444	4.186068	8.279187	31.198831
CHS.149	PEX10	1	-	2401373	2413797	2.752218	2.057849	7.754685
CHS.150	PLCH2	1	+	2412481	2508587	0.415602	2.311058	8.708862
CHS.151	-	1	-	2445838	2447604	0.000000	0.000000	0.000000
CHS.152	RP3-395M20.3	1	-	2493437	2494479	0.000000	0.000000	0.000000
CHS.153	PANK4	1	-	2508531	2526628	8.282650	8.769972	33.048279
CHS.164	LOC105378597	1	+	2633111	2641043	0.271479	0.154003	0.580335
CHS.165	TTC34	1	-	2636988	2789737	0.000000	0.000000	0.000000
CHS.166	LOC105378603	1	-	2700540	2702756	0.000000	0.000000	0.000000
CHS.167	LOC105378602	1	+	2701377	2702276	0.000000	0.000000	0.000000
CHS.168	LOC105378601	1	+	2762488	2763387	0.000000	0.000000	0.000000
CHS.169	LOC105378598	1	+	2763419	2784745	0.000000	0.000000	0.000000
CHS.170	LOC107985732	1	+	2764564	2765629	0.000000	0.000000	0.000000
CHS.171	LOC105378600	1	+	2766073	2766972	0.000000	0.000000	0.000000
CHS.172	LOC107984904	1	+	2771826	2772891	0.000000	0.000000	0.000000
CHS.173	LOC105378599	1	+	2773495	2774394	0.000000	0.000000	0.000000
CHS.188	RP11-168F9.2	1	+	3487246	3487627	2.989529	1.651004	6.221551
CHS.154	HES5	1	-	2528745	2530554	0.000000	0.000000	0.000000
CHS.158	RP3-395M20.12	1	+	2546465	2547460	5.503012	3.039105	11.452397
CHS.159	-	1	+	2548971	2549779	2.191595	1.210335	4.560960
CHS.157	RP3-395M20.8	1	-	2549920	2557011	3.691532	4.602600	17.344183
CHS.160	TNFRSF14	1	+	2555767	2565622	10.457961	16.429646	61.912572
CHS.161	LOC100996583	1	+	2566535	2584534	0.450178	0.248616	0.936872
CHS.162	FAM213B	1	+	2586460	2591469	0.401247	1.058399	3.988414
CHS.163	MMEL1	1	-	2588555	2633042	0.906431	1.248128	4.703379
CHS.189	MEGF6	1	-	3487942	3624779	7.233024	14.987617	56.478510
CHS.190	LOC105378608	1	+	3545955	3550776	0.000000	0.000000	0.000000
CHS.191	-	1	+	3598235	3602085	0.000000	0.000000	0.000000
CHS.192	LOC105378607	1	+	3602895	3607681	0.000000	0.000000	0.000000
CHS.193	TPRG1L	1	+	3624992	3630131	15.142323	9.792893	36.902998
CHS.194	WRAP73	1	-	3630767	3650107	5.386039	10.043408	37.847023
CHS.195	TP73	1	+	3652565	3736201	0.041610	0.179554	0.676620
CHS.196	LOC105378610	1	-	3658430	3668772	0.000000	0.000000	0.000000
CHS.197	LOC105378609	1	-	3674874	3677639	0.000000	0.000000	0.000000
CHS.198	RP5-1092A11.2	1	-	3712200	3714298	0.000000	0.000000	0.000000
CHS.199	TP73-AS1	1	-	3735984	3747375	1.314889	1.120832	4.223682
CHS.200	-	1	-	3749224	3752336	0.000000	0.000000	0.000000
CHS.201	CCDC27	1	+	3752398	3771645	0.000000	0.000000	0.000000
CHS.202	SMIM1	1	+	3772655	3776242	1.729310	0.955032	3.598892
CHS.203	LRRC47	1	-	3779856	3796504	6.338486	7.263496	27.371358
CHS.208	C1orf174	1	-	3889125	3900293	1.801307	1.609230	6.064134
CHS.213	LOC105376673	1	+	3972916	4013343	0.000000	0.000000	0.000000
CHS.209	LINC01134	1	+	3900349	3920041	0.283076	0.202819	0.764291
CHS.221	LOC107985376	1	+	4603688	4617555	1.669268	1.027319	3.871291
CHS.205	DFFB	1	+	3810787	3888993	0.905202	1.473907	5.554188
CHS.206	CEP104	1	-	3812081	3857387	5.728268	16.854131	63.512179
CHS.207	LOC107984910	1	-	3885495	3888787	0.000000	0.000000	0.000000
CHS.223	AJAP1	1	+	4654775	4792518	0.148679	0.091953	0.346510
CHS.224	-	1	-	4729984	4736438	0.816038	0.450667	1.698268
CHS.235	NPHP4	1	-	5850677	5992473	0.414175	0.388626	1.464478
CHS.236	-	1	+	5891972	5903913	0.000000	0.000000	0.000000
CHS.237	KCNAB2	1	+	5992298	6105423	2.736839	30.278060	114.098170
CHS.238	CHD5	1	-	6101347	6180311	0.000000	0.000000	0.000000
CHS.239	LOC105376687	1	+	6131763	6132692	0.000000	0.000000	0.000000
CHS.247	GPR153	1	-	6247346	6260975	0.346572	0.219108	0.825674
CHS.248	ACOT7	1	-	6264227	6393766	0.052629	0.288583	1.087482
CHS.240	RPL22	1	-	6185020	6200842	45.087887	83.530460	314.771577
CHS.241	LOC107985733	1	-	6200492	6209339	0.000000	0.000000	0.000000
CHS.242	LOC102724450	1	-	6204840	6205780	0.000000	0.000000	0.000000
CHS.243	RNF207	1	+	6205475	6221299	0.139265	0.095436	0.359637
CHS.244	ICMT	1	-	6221193	6235984	2.004022	1.179014	4.442931
CHS.255	TAS1R1	1	+	6555278	6579757	1.657361	1.312535	4.946084
CHS.258	LOC107984912	1	-	6567548	6579433	0.242505	0.133926	0.504681
CHS.251	ESPN	1	+	6424776	6470604	0.483807	1.380280	5.201370
CHS.253	TNFRSF25	1	-	6461151	6466195	2.835823	2.559420	9.644776
CHS.252	PLEKHG5	1	-	6466092	6520061	0.230279	0.178535	0.672781
CHS.254	NOL9	1	-	6521217	6554598	4.091942	8.195845	30.884770
CHS.265	-	1	-	6783900	6784741	0.000000	0.000000	0.000000
CHS.259	ZBTB48	1	+	6579967	6589280	5.054421	7.827002	29.494843
